BeachName,Date,Ecoli_1dGM,Temp_F,Notes,ClosureYN,Ecoli_30dGM,Ecoli_units,Entero_avg_cfu,Microcystin_ugL,Cylindro_ugL,Anatoxin_ugL,ClosureReason,MonitoringOrg,DNRID
Shady Oak,07/31/2012,NA,82,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0089
Shady Oak,06/04/2014,1.414213562373095,74.2,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0089
Shady Oak,06/16/2014,1.8612097182041991,73,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0089
Shady Oak,07/02/2014,2.7144176165949063,74,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0089
Shady Oak,07/30/2014,8.436768537690963,77,used retested water sample for geometric mean,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0089
Shady Oak,07/01/2015,3.22490309931942,77.5,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0089
Shady Oak,07/15/2015,21.487001336894306,81,potential sample contamination,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0089
Shady Oak,05/31/2016,6.5535694399018825,73.2,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0089
Shady Oak,06/29/2016,25.347935252685964,NA,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0089
Shady Oak,08/17/2016,2.2894284851066637,81.8,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0089
Shady Oak,06/13/2017,19.58688227497092,75.5,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0089
Shady Oak,07/11/2017,19.669083954907613,NA,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0089
Shady Oak,08/08/2017,55.47152933380461,75.5,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0089
Shady Oak,08/15/2017,4.257343622764969,74,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0089
Shady Oak,06/13/2018,6.134653103355094,71.6,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0089
Shady Oak,07/11/2018,7.168049268431441,80.1,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0089
Shady Oak,08/09/2018,1.8612097182041991,78.8,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0089
Shady Oak,07/17/2019,13.721700380945881,77.9,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0089
Shady Oak,07/20/2020,6.828838517683488,80.6,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0089
Shady Oak,08/13/2020,587.6493190032128,77.5,NA,Y,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0089
Shady Oak,08/17/2020,139.99284808231872,76.3,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0089
Shady Oak,08/19/2020,170.0282029236417,78.2,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0089
Shady Oak,08/24/2020,158.33428604171255,77.5,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0089
Shady Oak,08/27/2020,42.98013498857866,80.7,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0089
Shady Oak,06/15/2021,2.14880398181083,78,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0089
Shady Oak,07/20/2021,2.449591785724204,77.2,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0089
Shady Oak,08/10/2021,65.81272117425048,75.8,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0089
Shady Oak,06/08/2022,2.1355799447448813,69,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0089
Shady Oak,07/13/2022,37.507236525468294,78,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0089
Shady Oak,08/10/2022,5.400544202840194,77.5,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0089
Shady Oak,06/08/2023,6.839601780311192,76.8,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0089
Shady Oak,07/06/2023,16.05007544672533,77.5,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0089
Shady Oak,08/03/2023,14.954977580418499,83.3,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0089
Shady Oak,05/30/2024,5.87851218072498,68.8,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0089
Shady Oak,06/27/2024,1.2599210498948732,76.1,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0089
Shady Oak,07/25/2024,10.737599939463646,77.5,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0089
Shady Oak,08/22/2024,159.39677017960494,74,NA,Y,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0089
Shady Oak,08/26/2024,173.30819957541286,NA,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0089
Shady Oak,08/29/2024,184.61233467368461,NA,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0089
Shady Oak,09/26/2024,56.66695418509541,68.7,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0089
Libbs Lake,07/31/2012,13.685108578372635,78,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0085
Libbs Lake,06/04/2014,1.888175022589804,73.5,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0085
Libbs Lake,06/16/2014,16.792601477371942,72,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0085
Libbs Lake,07/02/2014,5.860312103167042,73,NA,N,NA,cfu,NA,NA,NA,NA,NA,Minnetonka,27-0085
