Date,BeachName,Ecoli_1dGM,Notes,Ecoli_30dGM,ClosureYN,ClosureReason,Ecoli_units,MonitoringOrg,DOW
2016-08-03,Beebe,29.8,None,29.8,N,NA,mpn,Wright County,86002300
2017-07-12,Beebe,10.7,None,10.7,N,NA,mpn,Wright County,86002300
2017-09-12,Beebe,1,None,1,N,NA,mpn,Wright County,86002300
2018-06-06,Beebe,1,None,1,N,NA,mpn,Wright County,86002300
2018-08-13,Beebe,1,None,1,N,NA,mpn,Wright County,86002300
2019-08-06,Beebe,1,None,1,N,NA,mpn,Wright County,86002300
2020-05-27,Beebe,4.1,None,4.1,N,NA,mpn,Wright County,86002300
2020-06-23,Beebe,1,None,2.0248456731316584,N,NA,mpn,Wright County,86002300
2020-07-21,Beebe,1,None,1,N,NA,mpn,Wright County,86002300
2020-07-28,Beebe,2,None,1.4142135623730951,N,NA,mpn,Wright County,86002300
2020-08-11,Beebe,727,Closed,11.32891023094349,N,NA,mpn,Wright County,86002300
2020-08-17,Beebe,3.8379904332739083,Reopen,5.759509258233965,N,NA,mpn,Wright County,86002300
2020-09-16,Beebe,181.9,NA,7.301162643543855,N,NA,mpn,Wright County,86002300
2021-06-07,Beebe,2,None,2,N,NA,mpn,Wright County,86002300
2021-07-28,Beebe,1,None,1,N,NA,mpn,Wright County,86002300
2022-07-05,Beebe,10.9,None,10.9,N,NA,mpn,Wright County,86002300
2022-08-08,Beebe,12.1,None,12.1,N,NA,mpn,Wright County,86002300
2022-08-31,Beebe,5.2,None,7.932212806020776,N,NA,mpn,Wright County,86002300
2023-05-22,Beebe,1,None,1,N,NA,mpn,Wright County,86002300
2023-06-26,Beebe,13.1,None,13.1,N,NA,mpn,Wright County,86002300
2023-07-31,Beebe,1,None,1,N,NA,mpn,Wright County,86002300
2023-08-14,Beebe,517.2,Closed,22.74203157151973,N,NA,mpn,Wright County,86002300
2023-08-21,Beebe,1,Reopen,2.441549324120925,N,NA,mpn,Wright County,86002300
2023-08-30,Beebe,1,None,2.1837721070780964,N,NA,mpn,Wright County,86002300
2024-05-20,Beebe,0.5,None,0.5,N,NA,mpn,Wright County,86002300
2024-05-28,Beebe,3.1,None,1.2449899597988732,N,NA,mpn,Wright County,86002300
2024-06-03,Beebe,80.42816670793883,None,10.006610816675837,N,NA,mpn,Wright County,86002300
2024-06-10,Beebe,1,None,6.312910138930638,N,NA,mpn,Wright County,86002300
2024-06-17,Beebe,4.1,None,5.874739976788111,N,NA,mpn,Wright County,86002300
2024-06-24,Beebe,0.5,None,5.874739976788111,N,NA,mpn,Wright County,86002300
2024-07-01,Beebe,1,None,3.880954936576445,N,NA,mpn,Wright County,86002300
2024-07-08,Beebe,2,None,1.2651168577973955,N,NA,mpn,Wright County,86002300
2024-07-17,Beebe,4.1,None,1.6005206638831553,N,NA,mpn,Wright County,86002300
2024-07-22,Beebe,2,None,1.420045659553982,N,NA,mpn,Wright County,86002300
2024-07-29,Beebe,2,None,1.7891454182839108,N,NA,mpn,Wright County,86002300
2024-08-05,Beebe,28.681701483698628,None,5.476636851796972,N,NA,mpn,Wright County,86002300
2024-08-12,Beebe,2,None,5.476636851796972,N,NA,mpn,Wright County,86002300
2024-08-19,Beebe,1,None,4.328957295954425,N,NA,mpn,Wright County,86002300
2024-08-26,Beebe,3.1,None,4.656989420495928,N,NA,mpn,Wright County,86002300
2025-05-19,Beebe,1,None,1,N,NA,mpn,Wright County,86002300
2025-05-27,Beebe,2,None,1.4142135623730951,N,NA,mpn,Wright County,86002300
2025-06-02,Beebe,1,None,1.189207115002721,N,NA,mpn,Wright County,86002300
2025-06-10,Beebe,0.5,None,1,N,NA,mpn,Wright County,86002300
2025-06-16,Beebe,6.3,None,1.3590124173265796,N,NA,mpn,Wright County,86002300
2025-06-24,Beebe,0.5,None,1.2107424205330537,N,NA,mpn,Wright County,86002300
2025-06-30,Beebe,56.39184338182251,None,3.3769952416970037,N,NA,mpn,Wright County,86002300
2025-07-07,Beebe,5.2,None,5.444434124990704,N,NA,mpn,Wright County,86002300
2025-07-14,Beebe,2,None,6.859557158841763,N,NA,mpn,Wright County,86002300
2025-07-21,Beebe,0.5,None,4.4967732464463275,N,NA,mpn,Wright County,86002300
2016-08-03,Bertram,313.1,Closed,313.1,Y,Ecoli_30dGM,mpn,Wright County,86007000
2017-07-12,Bertram,30.1,None,30.1,N,NA,mpn,Wright County,86007000
