beach_name,date,Ecoli_1dGM,Ecoli_30dGM,Ecoli_units,ClosureYN,ClosureReason,MonitoringOrg,DOW,units
Sand Point Beach,2002-07-24,4,4,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2003-07-02,2,2,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2003-07-22,13,5.1,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2003-08-08,1,3.6,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2004-06-14,10,10,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2004-06-29,1,3.2,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2004-07-13,22,6,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2004-07-27,4,4.4,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2004-08-11,4,7.1,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2005-07-08,4,4,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2005-07-22,19,8.7,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2005-08-05,18,11.1,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2005-08-22,10,13.4,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2006-06-06,17,17,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2006-06-21,2,5.8,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2006-07-05,58,12.5,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2006-07-20,5,8.3,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2006-08-02,32,21,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2007-05-21,1,1,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2007-06-05,3,1.7,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2007-06-19,4.1,2.3,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2007-07-05,4.1,3.7,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2007-07-31,1,2,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2008-06-03,2,2,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2008-06-17,1,1.4,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2008-07-01,9.7,2.7,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2008-07-15,1,2.1,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2008-07-29,7.4,4.2,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2008-08-12,1,1.9,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2009-06-04,2,2,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2009-06-18,14.5,5.4,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2009-07-02,10,6.6,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2009-07-16,2,6.6,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2009-07-30,2,3.4,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2009-08-13,30.1,4.9,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2010-06-02,4.1,4.1,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2010-06-17,4.1,4.1,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2010-07-02,139.6,13.3,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2010-07-15,15.8,20.8,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2010-07-29,16,32.8,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2002-07-24,2,2,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2003-07-02,3,3,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2003-07-22,18,7.3,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2003-08-08,3,7.3,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2004-06-14,22,22,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2004-06-29,60,36.3,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2004-07-13,4,17.4,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2004-07-27,6,11.3,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2004-08-11,2,3.6,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2005-07-08,2,2,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2005-07-22,37,8.6,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2005-08-05,7,8,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2005-08-22,11,8.8,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2006-06-06,66,66,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2006-06-21,8,23,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2006-07-05,10,17.4,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2006-07-20,2,5.4,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2006-08-02,120,13.4,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2006-08-08,1,6.2,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2007-05-21,1,1,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2007-06-05,4.1,2,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2007-06-19,42.6,5.6,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2007-07-05,6.3,10.3,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2007-07-31,3.1,4.4,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2008-06-03,3,3,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2008-06-17,2,2.4,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2008-07-01,1,1.8,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2008-07-15,12,2.9,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2008-07-29,410.6,17,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2008-08-01,4.3,27.7,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2008-08-12,2,14.3,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2009-06-04,1,1,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2009-06-18,31.3,5.6,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2009-07-02,6,5.7,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2009-07-16,3,8.3,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2009-07-30,4.1,4.2,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2009-08-13,9.8,4.9,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2010-06-02,7.5,7.5,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2010-06-17,9.7,8.5,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2010-07-02,3,6,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2010-07-15,23.1,8.8,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2010-07-29,14.4,10,,N,NA,PriorLake,70002600,mpn
