BeachName,DNRID,Date,Ecoli_1dGM,Ecoli_30dGM,Ecoli_units,Entero_avg_cfu,Microcystin_ugL,Cylindro_ugL,Anatoxin_ugL,ClosureYN,ClosureReason,MonitoringOrg
Harriet - Main,27-0016,2014-06-02,65,,cfu,,,,,N,,MPRB
Hiawatha,27-0018,2014-06-02,1210,,cfu,,,,,N,,MPRB
Nokomis - 50th,27-0019,2014-06-02,23,,cfu,,,,,N,,MPRB
Nokomis - Main,27-0019,2014-06-02,14,,cfu,,,,,N,,MPRB
Bde Maka Ska - 32nd,27-0031,2014-06-02,923,,cfu,,,,,N,,MPRB
Bde Maka Ska - Main,27-0031,2014-06-02,30.5,,cfu,,,,,N,,MPRB
Bde Maka Ska - Thomas,27-0031,2014-06-02,1251.5,,cfu,,,,,N,,MPRB
Wirth,27-0037,2014-06-02,192.5,,cfu,,,,,N,,MPRB
Cedar - East,27-0039,2014-06-02,77,,cfu,,,,,N,,MPRB
Cedar - Main,27-0039,2014-06-02,71,,cfu,,,,,N,,MPRB
Cedar - Point,27-0039,2014-06-02,236.5,,cfu,,,,,N,,MPRB
Harriet - SE,27-0016,2014-06-02,2420,,cfu,,,,,Y,ecoli_1dayGM,MPRB
Hiawatha,27-0018,2014-06-03,125,,cfu,,,,,N,,MPRB
Harriet - SE,27-0016,2014-06-04,10.5,,cfu,,,,,N,,MPRB
Hiawatha,27-0018,2014-06-04,52,,cfu,,,,,N,,MPRB
Bde Maka Ska - Thomas,27-0031,2014-06-04,56,,cfu,,,,,N,,MPRB
Harriet - Main,27-0016,2014-06-09,11.33333333,27.1,cfu,,,,,N,,MPRB
Harriet - SE,27-0016,2014-06-09,12,34.1,cfu,,,,,N,,MPRB
Hiawatha,27-0018,2014-06-09,101,43,cfu,,,,,N,,MPRB
Nokomis - 50th,27-0019,2014-06-09,18,26,cfu,,,,,N,,MPRB
Nokomis - Main,27-0019,2014-06-09,36,45,cfu,,,,,N,,MPRB
Bde Maka Ska - Main,27-0031,2014-06-09,24,27,cfu,,,,,N,,MPRB
Wirth,27-0037,2014-06-09,53.5,101.5,cfu,,,,,N,,MPRB
Cedar - East,27-0039,2014-06-09,51,35,cfu,,,,,N,,MPRB
Cedar - Main,27-0039,2014-06-09,31.5,47,cfu,,,,,N,,MPRB
Cedar - Point,27-0039,2014-06-09,29,83,cfu,,,,,N,,MPRB
Bde Maka Ska - 32nd,27-0031,2014-06-09,42,197,cfu,,,,,Y,ecoli_30dayGM,MPRB
Bde Maka Ska - Thomas,27-0031,2014-06-09,27,182,cfu,,,,,Y,ecoli_30dayGM,MPRB
Harriet - Main,27-0016,2014-06-16,19.6,24.4,cfu,,,,,N,,MPRB
Harriet - SE,27-0016,2014-06-16,11,34.2,cfu,,,,,N,,MPRB
Hiawatha,27-0018,2014-06-16,200,38.3,cfu,,,,,N,,MPRB
Nokomis - 50th,27-0019,2014-06-16,18,25,cfu,,,,,N,,MPRB
Nokomis - Main,27-0019,2014-06-16,15,29,cfu,,,,,N,,MPRB
Bde Maka Ska - 32nd,27-0031,2014-06-16,42.6,118,cfu,,,,,N,,MPRB
Bde Maka Ska - Main,27-0031,2014-06-16,17.95,24,cfu,,,,,N,,MPRB
Bde Maka Ska - Thomas,27-0031,2014-06-16,20,87,cfu,,,,,N,,MPRB
Wirth,27-0037,2014-06-16,11,48.4,cfu,,,,,N,,MPRB
Cedar - East,27-0039,2014-06-16,143,48,cfu,,,,,N,,MPRB
Cedar - Main,27-0039,2014-06-16,12.75,31,cfu,,,,,N,,MPRB
Cedar - Point,27-0039,2014-06-16,30.8,60,cfu,,,,,N,,MPRB
Harriet - Main,27-0016,2014-06-23,13.06666667,20.8,cfu,,,,,N,,MPRB
Harriet - SE,27-0016,2014-06-23,11.75,18.9,cfu,,,,,N,,MPRB
Hiawatha,27-0018,2014-06-23,28,18.6,cfu,,,,,N,,MPRB
Nokomis - 50th,27-0019,2014-06-23,19,19,cfu,,,,,N,,MPRB
Nokomis - Main,27-0019,2014-06-23,21,15,cfu,,,,,N,,MPRB
Bde Maka Ska - 32nd,27-0031,2014-06-23,14.25,70,cfu,,,,,N,,MPRB
Bde Maka Ska - Main,27-0031,2014-06-23,10.9,19,cfu,,,,,N,,MPRB
Bde Maka Ska - Thomas,27-0031,2014-06-23,44,73,cfu,,,,,N,,MPRB
Wirth,27-0037,2014-06-23,6.5,29.3,cfu,,,,,N,,MPRB
Cedar - East,27-0039,2014-06-23,101,29,cfu,,,,,N,,MPRB
Cedar - Main,27-0039,2014-06-23,0.5,11,cfu,,,,,N,,MPRB
Cedar - Point,27-0039,2014-06-23,9.25,37,cfu,,,,,N,,MPRB
Harriet - Main,27-0016,2014-06-30,11,18.3,cfu,,,,,N,,MPRB
Harriet - SE,27-0016,2014-06-30,68,17.5,cfu,,,,,N,,MPRB
Hiawatha,27-0018,2014-06-30,37,11.8,cfu,,,,,N,,MPRB
Nokomis - 50th,27-0019,2014-06-30,6.5,5,cfu,,,,,N,,MPRB
Nokomis - Main,27-0019,2014-06-30,15.5,9,cfu,,,,,N,,MPRB
Bde Maka Ska - 32nd,27-0031,2014-06-30,27.5,58,cfu,,,,,N,,MPRB
Bde Maka Ska - Main,27-0031,2014-06-30,23.66666667,20,cfu,,,,,N,,MPRB
Bde Maka Ska - Thomas,27-0031,2014-06-30,55,69,cfu,,,,,N,,MPRB
Wirth,27-0037,2014-06-30,8,22.6,cfu,,,,,N,,MPRB
Cedar - East,27-0039,2014-06-30,49,29,cfu,,,,,N,,MPRB
Cedar - Main,27-0039,2014-06-30,20,12,cfu,,,,,N,,MPRB
Cedar - Point,27-0039,2014-06-30,13,30,cfu,,,,,N,,MPRB
Harriet - Main,27-0016,2014-07-07,42,16.8,cfu,,,,,N,,MPRB
Harriet - SE,27-0016,2014-07-07,7,19.4,cfu,,,,,N,,MPRB
Hiawatha,27-0018,2014-07-07,98,21.9,cfu,,,,,N,,MPRB
Nokomis - 50th,27-0019,2014-07-07,8,16,cfu,,,,,N,,MPRB
Nokomis - Main,27-0019,2014-07-07,67,23,cfu,,,,,N,,MPRB
Bde Maka Ska - 32nd,27-0031,2014-07-07,11.5,24,cfu,,,,,N,,MPRB
Bde Maka Ska - Main,27-0031,2014-07-07,3,13,cfu,,,,,N,,MPRB
Bde Maka Ska - Thomas,27-0031,2014-07-07,325,53,cfu,,,,,N,,MPRB
Wirth,27-0037,2014-07-07,1.5,8.6,cfu,,,,,N,,MPRB
Cedar - East,27-0039,2014-07-07,6,20,cfu,,,,,N,,MPRB
Cedar - Main,27-0039,2014-07-07,4,7,cfu,,,,,N,,MPRB
Cedar - Point,27-0039,2014-07-07,7,15,cfu,,,,,N,,MPRB
Harriet - Main,27-0016,2014-07-14,12.5,17.1,cfu,,,,,N,,MPRB
Harriet - SE,27-0016,2014-07-14,8,16.3,cfu,,,,,N,,MPRB
Hiawatha,27-0018,2014-07-14,88,15.8,cfu,,,,,N,,MPRB
Nokomis - 50th,27-0019,2014-07-14,4.5,9,cfu,,,,,N,,MPRB
Nokomis - Main,27-0019,2014-07-14,239,9,cfu,,,,,N,,MPRB
Bde Maka Ska - 32nd,27-0031,2014-07-14,37,23,cfu,,,,,N,,MPRB
Bde Maka Ska - Main,27-0031,2014-07-14,4,9,cfu,,,,,N,,MPRB
Bde Maka Ska - Thomas,27-0031,2014-07-14,1050,110,cfu,,,,,N,,MPRB
Wirth,27-0037,2014-07-14,2.5,4.6,cfu,,,,,N,,MPRB
Cedar - East,27-0039,2014-07-14,25,34,cfu,,,,,N,,MPRB
Cedar - Main,27-0039,2014-07-14,17.33333333,6,cfu,,,,,N,,MPRB
Cedar - Point,27-0039,2014-07-14,16.5,13,cfu,,,,,N,,MPRB
Harriet - Main,27-0016,2014-07-21,3.5,12.1,cfu,,,,,N,,MPRB
Harriet - SE,27-0016,2014-07-21,18,8.9,cfu,,,,,N,,MPRB
Hiawatha,27-0018,2014-07-21,178,19.4,cfu,,,,,N,,MPRB
Nokomis - 50th,27-0019,2014-07-21,2,12,cfu,,,,,N,,MPRB
Nokomis - Main,27-0019,2014-07-21,3.5,9,cfu,,,,,N,,MPRB
Bde Maka Ska - 32nd,27-0031,2014-07-21,64,25,cfu,,,,,N,,MPRB
Bde Maka Ska - Main,27-0031,2014-07-21,14,8,cfu,,,,,N,,MPRB
Wirth,27-0037,2014-07-21,2.5,3.4,cfu,,,,,N,,MPRB
Cedar - East,27-0039,2014-07-21,9,18,cfu,,,,,N,,MPRB
Cedar - Main,27-0039,2014-07-21,4,5,cfu,,,,,N,,MPRB
Cedar - Point,27-0039,2014-07-21,1.666666667,7,cfu,,,,,N,,MPRB
Bde Maka Ska - Thomas,27-0031,2014-07-21,76,144,cfu,,,,,Y,ecoli_30dayGM,MPRB
Bde Maka Ska - Thomas,27-0031,2014-07-23,62,,cfu,,,,,N,,MPRB
Harriet - Main,27-0016,2014-07-28,4,9.6,cfu,,,,,N,,MPRB
Harriet - SE,27-0016,2014-07-28,7,28.8,cfu,,,,,N,,MPRB
Hiawatha,27-0018,2014-07-28,78,9.6,cfu,,,,,N,,MPRB
Nokomis - 50th,27-0019,2014-07-28,7,11,cfu,,,,,N,,MPRB
Nokomis - Main,27-0019,2014-07-28,90.35,23,cfu,,,,,N,,MPRB
Bde Maka Ska - 32nd,27-0031,2014-07-28,18.5,27,cfu,,,,,N,,MPRB
Bde Maka Ska - Main,27-0031,2014-07-28,11,8,cfu,,,,,N,,MPRB
Bde Maka Ska - Thomas,27-0031,2014-07-28,19,122,cfu,,,,,N,,MPRB
Wirth,27-0037,2014-07-28,1,2.4,cfu,,,,,N,,MPRB
Cedar - East,27-0039,2014-07-28,4,9,cfu,,,,,N,,MPRB
Cedar - Main,27-0039,2014-07-28,1,6,cfu,,,,,N,,MPRB
Cedar - Point,27-0039,2014-07-28,7.5,7,cfu,,,,,N,,MPRB
Harriet - Main,27-0016,2014-08-04,18.5,10.6,cfu,,,,,N,,MPRB
Harriet - SE,27-0016,2014-08-04,7,32.1,cfu,,,,,N,,MPRB
Hiawatha,27-0018,2014-08-04,564,7,cfu,,,,,N,,MPRB
Nokomis - 50th,27-0019,2014-08-04,102,13,cfu,,,,,N,,MPRB
Nokomis - Main,27-0019,2014-08-04,85,33,cfu,,,,,N,,MPRB
Bde Maka Ska - Main,27-0031,2014-08-04,48.5,10,cfu,,,,,N,,MPRB
Wirth,27-0037,2014-08-04,1.5,1.7,cfu,,,,,N,,MPRB
Cedar - East,27-0039,2014-08-04,27,91,cfu,,,,,N,,MPRB
Cedar - Main,27-0039,2014-08-04,23.33333333,6,cfu,,,,,N,,MPRB
Cedar - Point,27-0039,2014-08-04,4.5,6,cfu,,,,,N,,MPRB
Bde Maka Ska - 32nd,27-0031,2014-08-04,1643,61,cfu,,,,,Y,ecoli_1dayGM,MPRB
Bde Maka Ska - Thomas,27-0031,2014-08-04,155,150,cfu,,,,,Y,ecoli_30dayGM,MPRB
Bde Maka Ska - 32nd,27-0031,2014-08-06,417.3333333,,cfu,,,,,N,,MPRB
Bde Maka Ska - 32nd,27-0031,2014-08-07,108,,cfu,,,,,N,,MPRB
Harriet - Main,27-0016,2014-08-11,2.5,6,cfu,,,,,N,,MPRB
Harriet - SE,27-0016,2014-08-11,291,89,cfu,,,,,N,,MPRB
Hiawatha,27-0018,2014-08-11,169,34.8,cfu,,,,,N,,MPRB
Nokomis - 50th,27-0019,2014-08-11,32,52,cfu,,,,,N,,MPRB
Nokomis - Main,27-0019,2014-08-11,33,96,cfu,,,,,N,,MPRB
Bde Maka Ska - 32nd,27-0031,2014-08-11,61.5,85,cfu,,,,,N,,MPRB
Bde Maka Ska - Main,27-0031,2014-08-11,14,13,cfu,,,,,N,,MPRB
Wirth,27-0037,2014-08-11,1.5,1.7,cfu,,,,,N,,MPRB
Cedar - East,27-0039,2014-08-11,13,29,cfu,,,,,N,,MPRB
Cedar - Main,27-0039,2014-08-11,73.5,10,cfu,,,,,N,,MPRB
