"BeachName","DOW","Date","MonitoringOrg","Ecoli_1dGM","Ecoli_30dGM","Ecoli_units","ClosureYN","ClosureReason"
"Harriet - Main","27001600",2014-06-02,"MPRB",65,NA,"cfu","N",""
"Hiawatha","27001800",2014-06-02,"MPRB",1210,NA,"cfu","N",""
"Nokomis - 50th","27001900",2014-06-02,"MPRB",23,NA,"cfu","N",""
"Nokomis - Main","27001900",2014-06-02,"MPRB",14,NA,"cfu","N",""
"Bde Maka Ska - 32nd","27003100",2014-06-02,"MPRB",923,NA,"cfu","N",""
"Bde Maka Ska - Main","27003100",2014-06-02,"MPRB",30.5,NA,"cfu","N",""
"Bde Maka Ska - Thomas","27003100",2014-06-02,"MPRB",1251.5,NA,"cfu","N",""
"Wirth","27003700",2014-06-02,"MPRB",192.5,NA,"cfu","N",""
"Cedar - East","27003900",2014-06-02,"MPRB",77,NA,"cfu","N",""
"Cedar - Main","27003900",2014-06-02,"MPRB",71,NA,"cfu","N",""
"Cedar - Point","27003900",2014-06-02,"MPRB",236.5,NA,"cfu","N",""
"Harriet - SE","27001600",2014-06-02,"MPRB",2420,NA,"cfu","Y","ecoli_1dayGM"
"Hiawatha","27001800",2014-06-03,"MPRB",125,NA,"cfu","N",""
"Harriet - SE","27001600",2014-06-04,"MPRB",10.5,NA,"cfu","N",""
"Hiawatha","27001800",2014-06-04,"MPRB",52,NA,"cfu","N",""
"Bde Maka Ska - Thomas","27003100",2014-06-04,"MPRB",56,NA,"cfu","N",""
"Harriet - Main","27001600",2014-06-09,"MPRB",11.33333333,27.1,"cfu","N",""
"Harriet - SE","27001600",2014-06-09,"MPRB",12,34.1,"cfu","N",""
"Hiawatha","27001800",2014-06-09,"MPRB",101,43,"cfu","N",""
"Nokomis - 50th","27001900",2014-06-09,"MPRB",18,26,"cfu","N",""
"Nokomis - Main","27001900",2014-06-09,"MPRB",36,45,"cfu","N",""
"Bde Maka Ska - Main","27003100",2014-06-09,"MPRB",24,27,"cfu","N",""
"Wirth","27003700",2014-06-09,"MPRB",53.5,101.5,"cfu","N",""
"Cedar - East","27003900",2014-06-09,"MPRB",51,35,"cfu","N",""
"Cedar - Main","27003900",2014-06-09,"MPRB",31.5,47,"cfu","N",""
"Cedar - Point","27003900",2014-06-09,"MPRB",29,83,"cfu","N",""
"Bde Maka Ska - 32nd","27003100",2014-06-09,"MPRB",42,197,"cfu","Y","ecoli_30dayGM"
"Bde Maka Ska - Thomas","27003100",2014-06-09,"MPRB",27,182,"cfu","Y","ecoli_30dayGM"
"Harriet - Main","27001600",2014-06-16,"MPRB",19.6,24.4,"cfu","N",""
"Harriet - SE","27001600",2014-06-16,"MPRB",11,34.2,"cfu","N",""
"Hiawatha","27001800",2014-06-16,"MPRB",200,38.3,"cfu","N",""
"Nokomis - 50th","27001900",2014-06-16,"MPRB",18,25,"cfu","N",""
"Nokomis - Main","27001900",2014-06-16,"MPRB",15,29,"cfu","N",""
"Bde Maka Ska - 32nd","27003100",2014-06-16,"MPRB",42.6,118,"cfu","N",""
"Bde Maka Ska - Main","27003100",2014-06-16,"MPRB",17.95,24,"cfu","N",""
"Bde Maka Ska - Thomas","27003100",2014-06-16,"MPRB",20,87,"cfu","N",""
"Wirth","27003700",2014-06-16,"MPRB",11,48.4,"cfu","N",""
"Cedar - East","27003900",2014-06-16,"MPRB",143,48,"cfu","N",""
"Cedar - Main","27003900",2014-06-16,"MPRB",12.75,31,"cfu","N",""
"Cedar - Point","27003900",2014-06-16,"MPRB",30.8,60,"cfu","N",""
"Harriet - Main","27001600",2014-06-23,"MPRB",13.06666667,20.8,"cfu","N",""
"Harriet - SE","27001600",2014-06-23,"MPRB",11.75,18.9,"cfu","N",""
"Hiawatha","27001800",2014-06-23,"MPRB",28,18.6,"cfu","N",""
"Nokomis - 50th","27001900",2014-06-23,"MPRB",19,19,"cfu","N",""
"Nokomis - Main","27001900",2014-06-23,"MPRB",21,15,"cfu","N",""
"Bde Maka Ska - 32nd","27003100",2014-06-23,"MPRB",14.25,70,"cfu","N",""
"Bde Maka Ska - Main","27003100",2014-06-23,"MPRB",10.9,19,"cfu","N",""
"Bde Maka Ska - Thomas","27003100",2014-06-23,"MPRB",44,73,"cfu","N",""
"Wirth","27003700",2014-06-23,"MPRB",6.5,29.3,"cfu","N",""
"Cedar - East","27003900",2014-06-23,"MPRB",101,29,"cfu","N",""
"Cedar - Main","27003900",2014-06-23,"MPRB",0.5,11,"cfu","N",""
"Cedar - Point","27003900",2014-06-23,"MPRB",9.25,37,"cfu","N",""
"Harriet - Main","27001600",2014-06-30,"MPRB",11,18.3,"cfu","N",""
"Harriet - SE","27001600",2014-06-30,"MPRB",68,17.5,"cfu","N",""
"Hiawatha","27001800",2014-06-30,"MPRB",37,11.8,"cfu","N",""
"Nokomis - 50th","27001900",2014-06-30,"MPRB",6.5,5,"cfu","N",""
"Nokomis - Main","27001900",2014-06-30,"MPRB",15.5,9,"cfu","N",""
"Bde Maka Ska - 32nd","27003100",2014-06-30,"MPRB",27.5,58,"cfu","N",""
"Bde Maka Ska - Main","27003100",2014-06-30,"MPRB",23.66666667,20,"cfu","N",""
"Bde Maka Ska - Thomas","27003100",2014-06-30,"MPRB",55,69,"cfu","N",""
"Wirth","27003700",2014-06-30,"MPRB",8,22.6,"cfu","N",""
"Cedar - East","27003900",2014-06-30,"MPRB",49,29,"cfu","N",""
"Cedar - Main","27003900",2014-06-30,"MPRB",20,12,"cfu","N",""
"Cedar - Point","27003900",2014-06-30,"MPRB",13,30,"cfu","N",""
"Harriet - Main","27001600",2014-07-07,"MPRB",42,16.8,"cfu","N",""
"Harriet - SE","27001600",2014-07-07,"MPRB",7,19.4,"cfu","N",""
"Hiawatha","27001800",2014-07-07,"MPRB",98,21.9,"cfu","N",""
"Nokomis - 50th","27001900",2014-07-07,"MPRB",8,16,"cfu","N",""
"Nokomis - Main","27001900",2014-07-07,"MPRB",67,23,"cfu","N",""
"Bde Maka Ska - 32nd","27003100",2014-07-07,"MPRB",11.5,24,"cfu","N",""
"Bde Maka Ska - Main","27003100",2014-07-07,"MPRB",3,13,"cfu","N",""
"Bde Maka Ska - Thomas","27003100",2014-07-07,"MPRB",325,53,"cfu","N",""
"Wirth","27003700",2014-07-07,"MPRB",1.5,8.6,"cfu","N",""
"Cedar - East","27003900",2014-07-07,"MPRB",6,20,"cfu","N",""
"Cedar - Main","27003900",2014-07-07,"MPRB",4,7,"cfu","N",""
"Cedar - Point","27003900",2014-07-07,"MPRB",7,15,"cfu","N",""
"Harriet - Main","27001600",2014-07-14,"MPRB",12.5,17.1,"cfu","N",""
"Harriet - SE","27001600",2014-07-14,"MPRB",8,16.3,"cfu","N",""
"Hiawatha","27001800",2014-07-14,"MPRB",88,15.8,"cfu","N",""
"Nokomis - 50th","27001900",2014-07-14,"MPRB",4.5,9,"cfu","N",""
"Nokomis - Main","27001900",2014-07-14,"MPRB",239,9,"cfu","N",""
"Bde Maka Ska - 32nd","27003100",2014-07-14,"MPRB",37,23,"cfu","N",""
"Bde Maka Ska - Main","27003100",2014-07-14,"MPRB",4,9,"cfu","N",""
"Bde Maka Ska - Thomas","27003100",2014-07-14,"MPRB",1050,110,"cfu","N",""
"Wirth","27003700",2014-07-14,"MPRB",2.5,4.6,"cfu","N",""
"Cedar - East","27003900",2014-07-14,"MPRB",25,34,"cfu","N",""
"Cedar - Main","27003900",2014-07-14,"MPRB",17.33333333,6,"cfu","N",""
"Cedar - Point","27003900",2014-07-14,"MPRB",16.5,13,"cfu","N",""
"Harriet - Main","27001600",2014-07-21,"MPRB",3.5,12.1,"cfu","N",""
"Harriet - SE","27001600",2014-07-21,"MPRB",18,8.9,"cfu","N",""
"Hiawatha","27001800",2014-07-21,"MPRB",178,19.4,"cfu","N",""
"Nokomis - 50th","27001900",2014-07-21,"MPRB",2,12,"cfu","N",""
"Nokomis - Main","27001900",2014-07-21,"MPRB",3.5,9,"cfu","N",""
"Bde Maka Ska - 32nd","27003100",2014-07-21,"MPRB",64,25,"cfu","N",""
"Bde Maka Ska - Main","27003100",2014-07-21,"MPRB",14,8,"cfu","N",""
"Wirth","27003700",2014-07-21,"MPRB",2.5,3.4,"cfu","N",""
"Cedar - East","27003900",2014-07-21,"MPRB",9,18,"cfu","N",""
"Cedar - Main","27003900",2014-07-21,"MPRB",4,5,"cfu","N",""
"Cedar - Point","27003900",2014-07-21,"MPRB",1.666666667,7,"cfu","N",""
"Bde Maka Ska - Thomas","27003100",2014-07-21,"MPRB",76,144,"cfu","Y","ecoli_30dayGM"
"Bde Maka Ska - Thomas","27003100",2014-07-23,"MPRB",62,NA,"cfu","N",""
"Harriet - Main","27001600",2014-07-28,"MPRB",4,9.6,"cfu","N",""
"Harriet - SE","27001600",2014-07-28,"MPRB",7,28.8,"cfu","N",""
"Hiawatha","27001800",2014-07-28,"MPRB",78,9.6,"cfu","N",""
"Nokomis - 50th","27001900",2014-07-28,"MPRB",7,11,"cfu","N",""
"Nokomis - Main","27001900",2014-07-28,"MPRB",90.35,23,"cfu","N",""
"Bde Maka Ska - 32nd","27003100",2014-07-28,"MPRB",18.5,27,"cfu","N",""
"Bde Maka Ska - Main","27003100",2014-07-28,"MPRB",11,8,"cfu","N",""
"Bde Maka Ska - Thomas","27003100",2014-07-28,"MPRB",19,122,"cfu","N",""
"Wirth","27003700",2014-07-28,"MPRB",1,2.4,"cfu","N",""
"Cedar - East","27003900",2014-07-28,"MPRB",4,9,"cfu","N",""
"Cedar - Main","27003900",2014-07-28,"MPRB",1,6,"cfu","N",""
"Cedar - Point","27003900",2014-07-28,"MPRB",7.5,7,"cfu","N",""
