"BeachName","DOW","Date","MonitoringOrg","Entero_avg_cfu","Microcystin_ugL","Cylindro_ugL","Anatoxin_ugL","ClosureYN","ClosureReason"
"Harriet - Main","27001600",2014-06-02,"MPRB",NA,NA,NA,NA,"N",""
"Hiawatha","27001800",2014-06-02,"MPRB",NA,NA,NA,NA,"N",""
"Nokomis - 50th","27001900",2014-06-02,"MPRB",NA,NA,NA,NA,"N",""
"Nokomis - Main","27001900",2014-06-02,"MPRB",NA,NA,NA,NA,"N",""
"Bde Maka Ska - 32nd","27003100",2014-06-02,"MPRB",NA,NA,NA,NA,"N",""
"Bde Maka Ska - Main","27003100",2014-06-02,"MPRB",NA,NA,NA,NA,"N",""
"Bde Maka Ska - Thomas","27003100",2014-06-02,"MPRB",NA,NA,NA,NA,"N",""
"Wirth","27003700",2014-06-02,"MPRB",NA,NA,NA,NA,"N",""
"Cedar - East","27003900",2014-06-02,"MPRB",NA,NA,NA,NA,"N",""
"Cedar - Main","27003900",2014-06-02,"MPRB",NA,NA,NA,NA,"N",""
"Cedar - Point","27003900",2014-06-02,"MPRB",NA,NA,NA,NA,"N",""
"Harriet - SE","27001600",2014-06-02,"MPRB",NA,NA,NA,NA,"Y","ecoli_1dayGM"
"Hiawatha","27001800",2014-06-03,"MPRB",NA,NA,NA,NA,"N",""
"Harriet - SE","27001600",2014-06-04,"MPRB",NA,NA,NA,NA,"N",""
"Hiawatha","27001800",2014-06-04,"MPRB",NA,NA,NA,NA,"N",""
"Bde Maka Ska - Thomas","27003100",2014-06-04,"MPRB",NA,NA,NA,NA,"N",""
"Harriet - Main","27001600",2014-06-09,"MPRB",NA,NA,NA,NA,"N",""
"Harriet - SE","27001600",2014-06-09,"MPRB",NA,NA,NA,NA,"N",""
"Hiawatha","27001800",2014-06-09,"MPRB",NA,NA,NA,NA,"N",""
"Nokomis - 50th","27001900",2014-06-09,"MPRB",NA,NA,NA,NA,"N",""
"Nokomis - Main","27001900",2014-06-09,"MPRB",NA,NA,NA,NA,"N",""
"Bde Maka Ska - Main","27003100",2014-06-09,"MPRB",NA,NA,NA,NA,"N",""
"Wirth","27003700",2014-06-09,"MPRB",NA,NA,NA,NA,"N",""
"Cedar - East","27003900",2014-06-09,"MPRB",NA,NA,NA,NA,"N",""
"Cedar - Main","27003900",2014-06-09,"MPRB",NA,NA,NA,NA,"N",""
"Cedar - Point","27003900",2014-06-09,"MPRB",NA,NA,NA,NA,"N",""
"Bde Maka Ska - 32nd","27003100",2014-06-09,"MPRB",NA,NA,NA,NA,"Y","ecoli_30dayGM"
"Bde Maka Ska - Thomas","27003100",2014-06-09,"MPRB",NA,NA,NA,NA,"Y","ecoli_30dayGM"
"Harriet - Main","27001600",2014-06-16,"MPRB",NA,NA,NA,NA,"N",""
"Harriet - SE","27001600",2014-06-16,"MPRB",NA,NA,NA,NA,"N",""
"Hiawatha","27001800",2014-06-16,"MPRB",NA,NA,NA,NA,"N",""
"Nokomis - 50th","27001900",2014-06-16,"MPRB",NA,NA,NA,NA,"N",""
"Nokomis - Main","27001900",2014-06-16,"MPRB",NA,NA,NA,NA,"N",""
"Bde Maka Ska - 32nd","27003100",2014-06-16,"MPRB",NA,NA,NA,NA,"N",""
"Bde Maka Ska - Main","27003100",2014-06-16,"MPRB",NA,NA,NA,NA,"N",""
"Bde Maka Ska - Thomas","27003100",2014-06-16,"MPRB",NA,NA,NA,NA,"N",""
"Wirth","27003700",2014-06-16,"MPRB",NA,NA,NA,NA,"N",""
"Cedar - East","27003900",2014-06-16,"MPRB",NA,NA,NA,NA,"N",""
"Cedar - Main","27003900",2014-06-16,"MPRB",NA,NA,NA,NA,"N",""
"Cedar - Point","27003900",2014-06-16,"MPRB",NA,NA,NA,NA,"N",""
"Harriet - Main","27001600",2014-06-23,"MPRB",NA,NA,NA,NA,"N",""
"Harriet - SE","27001600",2014-06-23,"MPRB",NA,NA,NA,NA,"N",""
"Hiawatha","27001800",2014-06-23,"MPRB",NA,NA,NA,NA,"N",""
"Nokomis - 50th","27001900",2014-06-23,"MPRB",NA,NA,NA,NA,"N",""
"Nokomis - Main","27001900",2014-06-23,"MPRB",NA,NA,NA,NA,"N",""
"Bde Maka Ska - 32nd","27003100",2014-06-23,"MPRB",NA,NA,NA,NA,"N",""
"Bde Maka Ska - Main","27003100",2014-06-23,"MPRB",NA,NA,NA,NA,"N",""
"Bde Maka Ska - Thomas","27003100",2014-06-23,"MPRB",NA,NA,NA,NA,"N",""
"Wirth","27003700",2014-06-23,"MPRB",NA,NA,NA,NA,"N",""
"Cedar - East","27003900",2014-06-23,"MPRB",NA,NA,NA,NA,"N",""
"Cedar - Main","27003900",2014-06-23,"MPRB",NA,NA,NA,NA,"N",""
"Cedar - Point","27003900",2014-06-23,"MPRB",NA,NA,NA,NA,"N",""
"Harriet - Main","27001600",2014-06-30,"MPRB",NA,NA,NA,NA,"N",""
"Harriet - SE","27001600",2014-06-30,"MPRB",NA,NA,NA,NA,"N",""
"Hiawatha","27001800",2014-06-30,"MPRB",NA,NA,NA,NA,"N",""
"Nokomis - 50th","27001900",2014-06-30,"MPRB",NA,NA,NA,NA,"N",""
"Nokomis - Main","27001900",2014-06-30,"MPRB",NA,NA,NA,NA,"N",""
"Bde Maka Ska - 32nd","27003100",2014-06-30,"MPRB",NA,NA,NA,NA,"N",""
"Bde Maka Ska - Main","27003100",2014-06-30,"MPRB",NA,NA,NA,NA,"N",""
"Bde Maka Ska - Thomas","27003100",2014-06-30,"MPRB",NA,NA,NA,NA,"N",""
"Wirth","27003700",2014-06-30,"MPRB",NA,NA,NA,NA,"N",""
