BeachName,DOW,Date,Ecoli_1dGM,Ecoli_30dGM,Ecoli_units,ClosureYN,ClosureReason,MonitoringOrg
Bush Lake Beach,27004700,2016-05-23T00:00:00Z,7,7,mpn,N,NA,Bloomington
Bush Lake Beach,27004700,2016-05-26T00:00:00Z,172,34.698703145794944,mpn,N,NA,Bloomington
Bush Lake Beach,27004700,2016-05-31T00:00:00Z,16,26.807037581512276,mpn,N,NA,Bloomington
Bush Lake Beach,27004700,2016-06-02T00:00:00Z,21.8,25.456620061756823,mpn,N,NA,Bloomington
Bush Lake Beach,27004700,2016-06-06T00:00:00Z,5.2,18.528542643181638,mpn,N,NA,Bloomington
Bush Lake Beach,27004700,2016-06-09T00:00:00Z,547.5,32.57854906104009,mpn,Y,ecoli_1dayGM,Bloomington
Bush Lake Beach,27004700,2016-06-13T00:00:00Z,18.9,30.140490747172844,mpn,N,NA,Bloomington
Bush Lake Beach,27004700,2016-06-16T00:00:00Z,5.2,24.19674497871675,mpn,N,NA,Bloomington
Bush Lake Beach,27004700,2016-06-20T00:00:00Z,17.5,23.341110471102382,mpn,N,NA,Bloomington
Bush Lake Beach,27004700,2016-06-23T00:00:00Z,2,20.3081100956129,mpn,N,NA,Bloomington
Bush Lake Beach,27004700,2016-06-27T00:00:00Z,8.5,14.539391437809842,mpn,N,NA,Bloomington
Bush Lake Beach,27004700,2016-06-30T00:00:00Z,2,11.92324878108339,mpn,N,NA,Bloomington
Bush Lake Beach,27004700,2016-07-05T00:00:00Z,1,8.193802825920919,mpn,N,NA,Bloomington
Bush Lake Beach,27004700,2016-07-07T00:00:00Z,1,6.822280662035414,mpn,N,NA,Bloomington
Bush Lake Beach,27004700,2016-07-11T00:00:00Z,4,3.9496647488055725,mpn,N,NA,Bloomington
Bush Lake Beach,27004700,2016-07-14T00:00:00Z,1,2.8492538548699207,mpn,N,NA,Bloomington
Bush Lake Beach,27004700,2016-07-18T00:00:00Z,1,2.3723306367363306,mpn,N,NA,Bloomington
Bush Lake Beach,27004700,2016-07-21T00:00:00Z,31.3,2.530646429716664,mpn,N,NA,Bloomington
Bush Lake Beach,27004700,2016-07-25T00:00:00Z,2,2.530646429716664,mpn,N,NA,Bloomington
Bush Lake Beach,27004700,2016-07-27T00:00:00Z,6.3,2.7723137536583717,mpn,N,NA,Bloomington
Bush Lake Beach,27004700,2016-08-01T00:00:00Z,27.5,3.2753400556310295,mpn,N,NA,Bloomington
Bush Lake Beach,27004700,2016-08-04T00:00:00Z,23.3,3.985348908178665,mpn,N,NA,Bloomington
Bush Lake Beach,27004700,2016-08-08T00:00:00Z,4.1,5.4359058643816756,mpn,N,NA,Bloomington
Bush Lake Beach,27004700,2016-08-11T00:00:00Z,23,6.602059979815194,mpn,N,NA,Bloomington
Bush Lake Beach,27004700,2016-08-15T00:00:00Z,7.4,8.24633109090849,mpn,N,NA,Bloomington
Bush Lake Beach,27004700,2016-08-18T00:00:00Z,16.9,11.289965734992501,mpn,N,NA,Bloomington
Bush Lake Beach,27004700,2016-08-22T00:00:00Z,307.6,14.553382922330153,mpn,Y,ecoli_1dayGM,Bloomington
Bush Lake Beach,27004700,2016-08-25T00:00:00Z,44.1,20.522562076875598,mpn,N,NA,Bloomington
Bush Lake Beach,27004700,2016-08-30T00:00:00Z,21.3,23.49706915695307,mpn,N,NA,Bloomington
Bush Lake Beach,27004700,2016-09-01T00:00:00Z,28.8,23.617969699909846,mpn,N,NA,Bloomington
Bush Lake Beach,27004700,2017-05-25T00:00:00Z,131,131,mpn,Y,ecoli_30dayGM,Bloomington
Bush Lake Beach,27004700,2017-05-30T00:00:00Z,1,11.445523142259598,mpn,N,NA,Bloomington
Bush Lake Beach,27004700,2017-06-01T00:00:00Z,102,23.729603911182117,mpn,N,NA,Bloomington
Bush Lake Beach,27004700,2017-06-05T00:00:00Z,11,19.58015106456262,mpn,N,NA,Bloomington
Bush Lake Beach,27004700,2017-06-08T00:00:00Z,4.1,14.322195640057632,mpn,N,NA,Bloomington
