date,sample_1,sample_2,average,geometric_mean,beach_name,more_notes,notes,units
2002-07-24,4,NA,4,NA,Sand Point Beach,,,cfu
2002-07-24,2,NA,2,NA,Watzl's Beach,,,cfu
2003-07-02,2,NA,2,NA,Sand Point Beach,,,cfu
2003-07-02,3,NA,3,NA,Watzl's Beach,,,cfu
2003-07-22,13,NA,13,NA,Sand Point Beach,,,cfu
2003-07-22,18,NA,18,NA,Watzl's Beach,,,cfu
2003-08-08,1,NA,1,NA,Sand Point Beach,,,cfu
2003-08-08,3,NA,3,NA,Watzl's Beach,,,cfu
2004-06-14,10,NA,10,NA,Sand Point Beach,,,cfu
2004-06-14,22,NA,22,NA,Watzl's Beach,,,cfu
2004-06-29,1,NA,1,NA,Sand Point Beach,,,cfu
2004-06-29,60,NA,60,NA,Watzl's Beach,,,cfu
2004-07-13,22,NA,22,NA,Sand Point Beach,,,cfu
2004-07-13,4,NA,4,NA,Watzl's Beach,,,cfu
2004-07-27,4,NA,4,NA,Sand Point Beach,,,cfu
2004-07-27,6,NA,6,NA,Watzl's Beach,,,cfu
2004-08-11,4,NA,4,NA,Sand Point Beach,,,cfu
2004-08-11,2,NA,2,NA,Watzl's Beach,,,cfu
2005-07-08,4,NA,4,NA,Sand Point Beach,,,cfu
2005-07-08,2,NA,2,NA,Watzl's Beach,,,cfu
2005-07-22,19,NA,19,NA,Sand Point Beach,,,cfu
2005-07-22,37,NA,37,NA,Watzl's Beach,,,cfu
2005-08-05,18,NA,18,NA,Sand Point Beach,,,cfu
2005-08-05,7,NA,7,NA,Watzl's Beach,,,cfu
2005-08-22,10,NA,10,NA,Sand Point Beach,,,cfu
2005-08-22,11,NA,11,NA,Watzl's Beach,,,cfu
2006-06-06,17,NA,17,NA,Sand Point Beach,,,cfu
2006-06-06,66,NA,66,NA,Watzl's Beach,,,cfu
2006-06-21,2,NA,2,NA,Sand Point Beach,,,cfu
2006-06-21,8,NA,8,NA,Watzl's Beach,,,cfu
2006-07-05,58,NA,58,NA,Sand Point Beach,,,cfu
2006-07-05,10,NA,10,NA,Watzl's Beach,,,cfu
2006-07-20,5,NA,5,NA,Sand Point Beach,,,cfu
2006-07-20,2,NA,2,NA,Watzl's Beach,,,cfu
2006-08-02,32,NA,32,NA,Sand Point Beach,,,cfu
2006-08-02,120,NA,120,NA,Watzl's Beach,,,cfu
2006-08-08,NA,NA,NA,NA,Sand Point Beach,,,cfu
2006-08-08,1,NA,1,NA,Watzl's Beach,,,cfu
2007-05-21,1,NA,1,NA,Sand Point Beach,,,cfu
2007-05-21,1,NA,1,NA,Watzl's Beach,,,cfu
2007-06-05,3,NA,3,NA,Sand Point Beach,,,cfu
2007-06-05,4.1,NA,4.1,NA,Watzl's Beach,,,cfu
2007-06-19,4.1,NA,4.1,NA,Sand Point Beach,,,cfu
2007-06-19,42.6,NA,42.6,NA,Watzl's Beach,,,cfu
2007-07-05,4.1,NA,4.1,NA,Sand Point Beach,,,cfu
2007-07-05,6.3,NA,6.3,NA,Watzl's Beach,,,cfu
2007-07-31,1,NA,1,NA,Sand Point Beach,,,cfu
2007-07-31,3.1,NA,3.1,NA,Watzl's Beach,,,cfu
2008-06-03,2,NA,2,NA,Sand Point Beach,,,cfu
2008-06-03,3,NA,3,NA,Watzl's Beach,,,cfu
2008-06-17,1,NA,1,NA,Sand Point Beach,,,cfu
2008-06-17,2,NA,2,NA,Watzl's Beach,,,cfu
2008-07-01,9.7,NA,9.7,NA,Sand Point Beach,,,cfu
2008-07-01,1,NA,1,NA,Watzl's Beach,,,cfu
2008-07-15,1,NA,1,NA,Sand Point Beach,,,cfu
2008-07-15,12,NA,12,NA,Watzl's Beach,,,cfu
2008-07-29,7.4,NA,7.4,NA,Sand Point Beach,,,cfu
2008-07-29,410.6,NA,410.6,NA,Watzl's Beach,,,cfu
2008-08-01,NA,NA,NA,NA,Sand Point Beach,,,cfu
2008-08-01,4.3,NA,4.3,NA,Watzl's Beach,,,cfu
2008-08-12,1,NA,1,NA,Sand Point Beach,,,cfu
2008-08-12,2,NA,2,NA,Watzl's Beach,,,cfu
2009-06-04,2,NA,2,NA,Sand Point Beach,,,cfu
2009-06-04,1,NA,1,NA,Watzl's Beach,,,cfu
