beach_name,date,Ecoli_1dGM,Ecoli_30dGM,Ecoli_units,ClosureYN,ClosureReason,MonitoringOrg,DOW,units
Sand Point Beach,2014-06-24,7.3,7.3,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2014-07-01,1,2.7,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2014-07-08,31.1,6.1,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2014-07-15,200.2,14.6,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2014-07-22,31,29.6,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2014-07-29,8.4,30.1,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2014-08-05,44.5,48.4,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2014-08-12,105.2,56.4,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2014-08-19,18.4,29.5,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2014-08-26,8.1,22.6,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2014-07-16,120.6,22.3,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2014-07-17,103.7,28.8,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2014-07-18,33.5,29.4,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2015-06-09,40,40,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2015-06-16,5.1,14.3,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2015-06-23,21.6,16.4,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2015-06-30,3.9,11.4,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2015-07-07,46.6,15.1,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2015-07-14,19.3,13.1,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2015-07-21,214.1,27.6,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2015-07-28,131.9,39.7,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2015-08-04,9.9,47.9,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2015-08-07,11,35.9,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2015-08-11,235.4,49.1,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2015-08-13,102,54.5,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2015-08-18,10.4,49.9,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2015-08-25,7.3,30.8,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2016-05-24,3.6,3.6,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2016-06-01,6.9,5,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2016-06-07,2,3.7,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2016-06-14,1.4,2.9,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2016-06-21,9.9,3.7,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2016-06-28,11,4.6,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2016-07-05,6.9,4.6,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2016-07-12,6.9,5.9,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2016-07-19,7.2,8.2,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2016-07-26,3.7,6.8,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2016-08-02,18.2,7.5,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2016-08-09,3.5,6.5,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2016-08-23,2.4,4.9,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2016-08-31,40.2,8.9,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2017-05-30,15.4,15.4,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2017-06-06,11.4,13.3,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2017-06-13,41.2,19.4,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2017-06-20,6.2,14.6,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2017-06-27,12.2,14.1,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2017-07-05,16,14.2,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2017-07-11,113.8,22.5,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2017-07-18,23.7,20.1,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2017-07-25,8.9,21.6,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2017-08-01,174.3,36.8,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2017-08-08,9.5,33.1,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2017-08-15,249.8,38.8,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2017-08-16,155.9,48.9,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2017-08-22,40.3,53.4,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2017-08-29,8.8,53.3,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2018-05-22,1,1,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2018-06-05,1.7,1.3,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2018-06-12,5.5,2.1,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2018-06-19,13.4,3.4,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2018-06-26,38.3,8.4,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2018-07-02,15.3,9.4,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2018-07-10,3.5,10.8,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2018-07-17,12.4,12.8,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2018-07-24,14.1,12.9,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2018-07-31,12.6,10.3,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2018-08-07,11.8,9.8,,N,NA,PriorLake,70002600,mpn
