"BeachName","DOW","Date","MonitoringOrg","Ecoli_1dGM","Ecoli_30dGM","Ecoli_units","ClosureYN","ClosureReason"
"Gervais","62000700",2004-06-15,"RamseyCo",2.5,NA,"mpn","N",""
"McCarrons","62005400",2004-06-15,"RamseyCo",22,NA,"mpn","N",""
"Owasso","62005600",2004-06-15,"RamseyCo",1,NA,"mpn","N",""
"Josephine","62005700",2004-06-15,"RamseyCo",2,NA,"mpn","N",""
"Turtle","62006100",2004-06-15,"RamseyCo",1,NA,"mpn","N",""
"Long","62006700",2004-06-15,"RamseyCo",9.8,NA,"mpn","N",""
"Snail","62007300",2004-06-15,"RamseyCo",6.9,NA,"mpn","N",""
"Johanna","62007800",2004-06-15,"RamseyCo",19,NA,"mpn","N",""
"White Bear","82016700",2004-06-15,"RamseyCo",1.8,NA,"mpn","N",""
"Gervais","62000700",2004-06-22,"RamseyCo",3.6,NA,"mpn","N",""
"McCarrons","62005400",2004-06-22,"RamseyCo",9.8,NA,"mpn","N",""
"Owasso","62005600",2004-06-22,"RamseyCo",1.8,NA,"mpn","N",""
"Josephine","62005700",2004-06-22,"RamseyCo",1.4,NA,"mpn","N",""
"Turtle","62006100",2004-06-22,"RamseyCo",16.9,NA,"mpn","N",""
"Long","62006700",2004-06-22,"RamseyCo",1.8,NA,"mpn","N",""
"Snail","62007300",2004-06-22,"RamseyCo",1,NA,"mpn","N",""
"Johanna","62007800",2004-06-22,"RamseyCo",2,NA,"mpn","N",""
"White Bear","82016700",2004-06-22,"RamseyCo",7.8,NA,"mpn","N",""
"Gervais","62000700",2004-06-29,"RamseyCo",9.8,NA,"mpn","N",""
"McCarrons","62005400",2004-06-29,"RamseyCo",124.2,NA,"mpn","N",""
"Owasso","62005600",2004-06-29,"RamseyCo",4.3,NA,"mpn","N",""
"Josephine","62005700",2004-06-29,"RamseyCo",9.1,NA,"mpn","N",""
"Turtle","62006100",2004-06-29,"RamseyCo",4,NA,"mpn","N",""
"Long","62006700",2004-06-29,"RamseyCo",4.1,NA,"mpn","N",""
"Snail","62007300",2004-06-29,"RamseyCo",2.5,NA,"mpn","N",""
"Johanna","62007800",2004-06-29,"RamseyCo",1,NA,"mpn","N",""
"White Bear","82016700",2004-06-29,"RamseyCo",9.7,NA,"mpn","N",""
"Gervais","62000700",2004-07-06,"RamseyCo",9,NA,"mpn","N",""
"Phalen","62001300",2004-07-06,"RamseyCo",27.8,NA,"mpn","N",""
"McCarrons","62005400",2004-07-06,"RamseyCo",13.3,NA,"mpn","N",""
"Owasso","62005600",2004-07-06,"RamseyCo",2.9,NA,"mpn","N",""
