beach,DOW,date,ecoli_1dGM,ecoli_30dGM,units,closureYN,closure_reason
Gervais,62000700,2024-08-27,13.8,11.6,mpn/100mL,N,NA
Gervais,62000700,2024-08-27,13.8,11.6,mpn/100mL,N,NA
Gervais,62000700,2024-08-20,5.1,11.7,mpn/100mL,N,NA
Gervais,62000700,2024-08-20,5.1,11.7,mpn/100mL,N,NA
Gervais,62000700,2024-08-13,3.6,9.1,mpn/100mL,N,NA
Gervais,62000700,2024-08-13,3.6,9.1,mpn/100mL,N,NA
Gervais,62000700,2024-08-06,40.1,11.8,mpn/100mL,N,NA
Gervais,62000700,2024-08-06,40.1,11.8,mpn/100mL,N,NA
Gervais,62000700,2024-07-30,21.3,5.7,mpn/100mL,N,NA
Gervais,62000700,2024-07-30,21.3,5.7,mpn/100mL,N,NA
Gervais,62000700,2024-07-23,14.3,10.1,mpn/100mL,N,NA
Gervais,62000700,2024-07-23,14.3,10.1,mpn/100mL,N,NA
Gervais,62000700,2024-07-16,1.4,13,mpn/100mL,N,NA
Gervais,62000700,2024-07-16,1.4,13,mpn/100mL,N,NA
Gervais,62000700,2024-07-09,13.5,18.4,mpn/100mL,N,NA
Gervais,62000700,2024-07-09,13.5,18.4,mpn/100mL,N,NA
Gervais,62000700,2024-07-02,1,26.2,mpn/100mL,N,NA
Gervais,62000700,2024-07-02,1,26.2,mpn/100mL,N,NA
Gervais,62000700,2024-06-25,388.4,49.4,mpn/100mL,N,NA
Gervais,62000700,2024-06-25,388.4,49.4,mpn/100mL,N,NA
Gervais,62000700,2024-06-18,50.2,21.6,mpn/100mL,N,NA
Gervais,62000700,2024-06-18,50.2,21.6,mpn/100mL,N,NA
Gervais,62000700,2024-06-11,8,17.5,mpn/100mL,N,NA
Gervais,62000700,2024-06-11,8,17.5,mpn/100mL,N,NA
Gervais,62000700,2024-06-04,79.4,22.7,mpn/100mL,N,NA
Gervais,62000700,2024-06-04,79.4,22.7,mpn/100mL,N,NA
Gervais,62000700,2024-05-28,23.7,12.2,mpn/100mL,N,NA
Gervais,62000700,2024-05-28,23.7,12.2,mpn/100mL,N,NA
Gervais,62000700,2024-05-21,6.2,6.2,mpn/100mL,N,NA
Gervais,62000700,2024-05-21,6.2,6.2,mpn/100mL,N,NA
Gervais,62000700,2023-08-29,6.2,3.5,mpn/100mL,N,NA
Gervais,62000700,2023-08-29,6.2,3.5,mpn/100mL,N,NA
Gervais,62000700,2023-08-22,2,2.7,mpn/100mL,N,NA
Gervais,62000700,2023-08-22,2,2.7,mpn/100mL,N,NA
Gervais,62000700,2023-08-15,12.7,2.6,mpn/100mL,N,NA
Gervais,62000700,2023-08-15,12.7,2.6,mpn/100mL,N,NA
Gervais,62000700,2023-08-08,1.4,2,mpn/100mL,N,NA
Gervais,62000700,2023-08-08,1.4,2,mpn/100mL,N,NA
Gervais,62000700,2023-08-01,2.3,2.9,mpn/100mL,N,NA
Gervais,62000700,2023-08-01,2.3,2.9,mpn/100mL,N,NA
Gervais,62000700,2023-07-25,1.7,3.7,mpn/100mL,N,NA
Gervais,62000700,2023-07-25,1.7,3.7,mpn/100mL,N,NA
Gervais,62000700,2023-07-18,1.7,3.8,mpn/100mL,N,NA
Gervais,62000700,2023-07-18,1.7,3.8,mpn/100mL,N,NA
Gervais,62000700,2023-07-11,3.6,3.7,mpn/100mL,N,NA
Gervais,62000700,2023-07-11,3.6,3.7,mpn/100mL,N,NA
Gervais,62000700,2023-07-06,8.9,5.8,mpn/100mL,N,NA
Gervais,62000700,2023-07-06,8.9,5.8,mpn/100mL,N,NA
Gervais,62000700,2023-06-27,7.3,4.2,mpn/100mL,N,NA
Gervais,62000700,2023-06-27,7.3,4.2,mpn/100mL,N,NA
Gervais,62000700,2023-06-20,2,2.8,mpn/100mL,N,NA
Gervais,62000700,2023-06-20,2,2.8,mpn/100mL,N,NA
Gervais,62000700,2023-06-13,1.4,3.1,mpn/100mL,N,NA
Gervais,62000700,2023-06-13,1.4,3.1,mpn/100mL,N,NA
Gervais,62000700,2023-06-06,35.1,4,mpn/100mL,N,NA
Gervais,62000700,2023-06-06,35.1,4,mpn/100mL,N,NA
Gervais,62000700,2023-05-30,1.8,1.3,mpn/100mL,N,NA
Gervais,62000700,2023-05-30,1.8,1.3,mpn/100mL,N,NA
Gervais,62000700,2023-05-23,1,1,mpn/100mL,N,NA
Gervais,62000700,2023-05-23,1,1,mpn/100mL,N,NA
Gervais,62000700,2022-08-30,44.9,5.2,mpn/100mL,N,NA
Gervais,62000700,2022-08-30,44.9,5.2,mpn/100mL,N,NA
Gervais,62000700,2022-08-23,13.1,2.6,mpn/100mL,N,NA
Gervais,62000700,2022-08-23,13.1,2.6,mpn/100mL,N,NA
Gervais,62000700,2022-08-16,1.4,3,mpn/100mL,N,NA
Gervais,62000700,2022-08-16,1.4,3,mpn/100mL,N,NA
Gervais,62000700,2022-08-09,1.4,3.3,mpn/100mL,N,NA
Gervais,62000700,2022-08-09,1.4,3.3,mpn/100mL,N,NA
Gervais,62000700,2022-08-02,3.2,3.6,mpn/100mL,N,NA
Gervais,62000700,2022-08-02,3.2,3.6,mpn/100mL,N,NA
Gervais,62000700,2022-07-26,1.4,3,mpn/100mL,N,NA
Gervais,62000700,2022-07-26,1.4,3,mpn/100mL,N,NA
Gervais,62000700,2022-07-19,25,3.6,mpn/100mL,N,NA
Gervais,62000700,2022-07-19,25,3.6,mpn/100mL,N,NA
Gervais,62000700,2022-07-12,2.5,3,mpn/100mL,N,NA
Gervais,62000700,2022-07-12,2.5,3,mpn/100mL,N,NA
Gervais,62000700,2022-07-05,2,3.8,mpn/100mL,N,NA
Gervais,62000700,2022-07-05,2,3.8,mpn/100mL,N,NA
Gervais,62000700,2022-06-28,1.4,5.2,mpn/100mL,N,NA
Gervais,62000700,2022-06-28,1.4,5.2,mpn/100mL,N,NA
Gervais,62000700,2022-06-21,3.6,6.8,mpn/100mL,N,NA
Gervais,62000700,2022-06-21,3.6,6.8,mpn/100mL,N,NA
Gervais,62000700,2022-06-14,9,8,mpn/100mL,N,NA
Gervais,62000700,2022-06-14,9,8,mpn/100mL,N,NA
Gervais,62000700,2022-06-07,8.4,7.7,mpn/100mL,N,NA
Gervais,62000700,2022-06-07,8.4,7.7,mpn/100mL,N,NA
Gervais,62000700,2022-05-31,9.5,7.4,mpn/100mL,N,NA
Gervais,62000700,2022-05-31,9.5,7.4,mpn/100mL,N,NA
Gervais,62000700,2022-05-24,5.7,5.7,mpn/100mL,N,NA
Gervais,62000700,2022-05-24,5.7,5.7,mpn/100mL,N,NA
Gervais,62000700,2021-08-31,8.3,5.3,mpn/100mL,N,NA
Gervais,62000700,2021-08-31,8.3,5.3,mpn/100mL,N,NA
Gervais,62000700,2021-08-24,128.9,5.8,mpn/100mL,N,NA
Gervais,62000700,2021-08-24,128.9,5.8,mpn/100mL,N,NA
Gervais,62000700,2021-08-17,1,2.5,mpn/100mL,N,NA
Gervais,62000700,2021-08-17,1,2.5,mpn/100mL,N,NA
Gervais,62000700,2021-08-10,4,2.7,mpn/100mL,N,NA
Gervais,62000700,2021-08-10,4,2.7,mpn/100mL,N,NA
Gervais,62000700,2021-08-03,1,2.2,mpn/100mL,N,NA
Gervais,62000700,2021-08-03,1,2.2,mpn/100mL,N,NA
Gervais,62000700,2021-07-27,12.3,4.2,mpn/100mL,N,NA
Gervais,62000700,2021-07-27,12.3,4.2,mpn/100mL,N,NA
Gervais,62000700,2021-07-20,2,2.8,mpn/100mL,N,NA
Gervais,62000700,2021-07-20,2,2.8,mpn/100mL,N,NA
Gervais,62000700,2021-07-13,1.4,2.5,mpn/100mL,N,NA
Gervais,62000700,2021-07-13,1.4,2.5,mpn/100mL,N,NA
Gervais,62000700,2021-07-06,1.4,4.9,mpn/100mL,N,NA
Gervais,62000700,2021-07-06,1.4,4.9,mpn/100mL,N,NA
Gervais,62000700,2021-06-29,25.5,6.5,mpn/100mL,N,NA
Gervais,62000700,2021-06-29,25.5,6.5,mpn/100mL,N,NA
Gervais,62000700,2021-06-22,1.8,8.7,mpn/100mL,N,NA
Gervais,62000700,2021-06-22,1.8,8.7,mpn/100mL,N,NA
Gervais,62000700,2021-06-15,1,13,mpn/100mL,N,NA
Gervais,62000700,2021-06-15,1,13,mpn/100mL,N,NA
Gervais,62000700,2021-06-08,44.7,30.4,mpn/100mL,N,NA
Gervais,62000700,2021-06-08,44.7,30.4,mpn/100mL,N,NA
Gervais,62000700,2021-06-01,5.7,25.1,mpn/100mL,N,NA
Gervais,62000700,2021-06-01,5.7,25.1,mpn/100mL,N,NA
Gervais,62000700,2021-05-25,111.2,111.2,mpn/100mL,N,NA
Gervais,62000700,2021-05-25,111.2,111.2,mpn/100mL,N,NA
Gervais,62000700,2015-09-01,13.5,9.4,mpn/100mL,N,NA
Gervais,62000700,2015-09-01,13.5,9.4,mpn/100mL,N,NA
Gervais,62000700,2015-08-25,36.8,8.2,mpn/100mL,N,NA
Gervais,62000700,2015-08-25,36.8,8.2,mpn/100mL,N,NA
Gervais,62000700,2015-08-18,12.1,4,mpn/100mL,N,NA
Gervais,62000700,2015-08-18,12.1,4,mpn/100mL,N,NA
Gervais,62000700,2015-08-11,12.4,7.3,mpn/100mL,N,NA
Gervais,62000700,2015-08-11,12.4,7.3,mpn/100mL,N,NA
Gervais,62000700,2015-08-04,1,11.6,mpn/100mL,N,NA
Gervais,62000700,2015-08-04,1,11.6,mpn/100mL,N,NA
Gervais,62000700,2015-07-28,6.6,27.4,mpn/100mL,N,NA
Gervais,62000700,2015-07-28,6.6,27.4,mpn/100mL,N,NA
Gervais,62000700,2015-07-21,1,31.1,mpn/100mL,N,NA
Gervais,62000700,2015-07-21,1,31.1,mpn/100mL,N,NA
Gervais,62000700,2015-07-14,249.7,42.3,mpn/100mL,N,NA
Gervais,62000700,2015-07-14,249.7,42.3,mpn/100mL,N,NA
Gervais,62000700,2015-07-07,125.4,31.7,mpn/100mL,N,NA
Gervais,62000700,2015-07-07,125.4,31.7,mpn/100mL,N,NA
Gervais,62000700,2015-06-30,74.4,20.9,mpn/100mL,N,NA
Gervais,62000700,2015-06-30,74.4,20.9,mpn/100mL,N,NA
Gervais,62000700,2015-06-23,12.6,13.4,mpn/100mL,N,NA
Gervais,62000700,2015-06-23,12.6,13.4,mpn/100mL,N,NA
Gervais,62000700,2015-06-16,4.6,22.7,mpn/100mL,N,NA
Gervais,62000700,2015-06-16,4.6,22.7,mpn/100mL,N,NA
Gervais,62000700,2015-06-09,59.5,33.9,mpn/100mL,N,NA
Gervais,62000700,2015-06-09,59.5,33.9,mpn/100mL,N,NA
Gervais,62000700,2015-06-02,15.6,28.1,mpn/100mL,N,NA
Gervais,62000700,2015-06-02,15.6,28.1,mpn/100mL,N,NA
Gervais,62000700,2015-05-26,8.1,37.7,mpn/100mL,N,NA
Gervais,62000700,2015-05-26,8.1,37.7,mpn/100mL,N,NA
Gervais,62000700,2015-05-19,175.4,175.4,mpn/100mL,Y,ecoli_30dayGM
Gervais,62000700,2015-05-19,175.4,175.4,mpn/100mL,Y,ecoli_30dayGM
Gervais,62000700,2014-08-26,1.4,1.1,mpn/100mL,N,NA
Gervais,62000700,2014-08-26,1.4,1.1,mpn/100mL,N,NA
Gervais,62000700,2014-08-19,1,1.8,mpn/100mL,N,NA
Gervais,62000700,2014-08-19,1,1.8,mpn/100mL,N,NA
Gervais,62000700,2014-08-12,1.4,1.8,mpn/100mL,N,NA
Gervais,62000700,2014-08-12,1.4,1.8,mpn/100mL,N,NA
Gervais,62000700,2014-08-05,1,2.2,mpn/100mL,N,NA
Gervais,62000700,2014-08-05,1,2.2,mpn/100mL,N,NA
Gervais,62000700,2014-07-29,1,3.7,mpn/100mL,N,NA
Gervais,62000700,2014-07-29,1,3.7,mpn/100mL,N,NA
Gervais,62000700,2014-07-22,15.2,5.3,mpn/100mL,N,NA
Gervais,62000700,2014-07-22,15.2,5.3,mpn/100mL,N,NA
Gervais,62000700,2014-07-15,1,8.3,mpn/100mL,N,NA
Gervais,62000700,2014-07-15,1,8.3,mpn/100mL,N,NA
Gervais,62000700,2014-07-08,3.6,11,mpn/100mL,N,NA
Gervais,62000700,2014-07-08,3.6,11,mpn/100mL,N,NA
Gervais,62000700,2014-07-01,12.1,22.7,mpn/100mL,N,NA
Gervais,62000700,2014-07-01,12.1,22.7,mpn/100mL,N,NA
Gervais,62000700,2014-06-24,6.2,37.3,mpn/100mL,N,NA
Gervais,62000700,2014-06-24,6.2,37.3,mpn/100mL,N,NA
Gervais,62000700,2014-06-20,33.8,53.3,mpn/100mL,N,NA
Gervais,62000700,2014-06-20,33.8,53.3,mpn/100mL,N,NA
Gervais,62000700,2014-06-17,35.6,44.1,mpn/100mL,N,NA
Gervais,62000700,2014-06-17,35.6,44.1,mpn/100mL,N,NA
Gervais,62000700,2014-06-10,5.5,46.5,mpn/100mL,N,NA
Gervais,62000700,2014-06-10,5.5,46.5,mpn/100mL,N,NA
Gervais,62000700,2014-06-03,276.3,94.9,mpn/100mL,N,NA
Gervais,62000700,2014-06-03,276.3,94.9,mpn/100mL,N,NA
Gervais,62000700,2014-05-27,235.6,55.6,mpn/100mL,N,NA
Gervais,62000700,2014-05-27,235.6,55.6,mpn/100mL,N,NA
Gervais,62000700,2014-05-20,13.1,13.1,mpn/100mL,N,NA
Gervais,62000700,2014-05-20,13.1,13.1,mpn/100mL,N,NA
Gervais,62000700,2013-08-27,39.4,10.2,mpn/100mL,N,NA
Gervais,62000700,2013-08-27,39.4,10.2,mpn/100mL,N,NA
Gervais,62000700,2013-08-20,4.3,4.9,mpn/100mL,N,NA
Gervais,62000700,2013-08-20,4.3,4.9,mpn/100mL,N,NA
Gervais,62000700,2013-08-13,19.7,5.4,mpn/100mL,N,NA
Gervais,62000700,2013-08-13,19.7,5.4,mpn/100mL,N,NA
Gervais,62000700,2013-08-06,9.1,11.1,mpn/100mL,N,NA
Gervais,62000700,2013-08-06,9.1,11.1,mpn/100mL,N,NA
Gervais,62000700,2013-07-30,3.6,10.8,mpn/100mL,N,NA
Gervais,62000700,2013-07-30,3.6,10.8,mpn/100mL,N,NA
Gervais,62000700,2013-07-23,1,19.8,mpn/100mL,N,NA
Gervais,62000700,2013-07-23,1,19.8,mpn/100mL,N,NA
Gervais,62000700,2013-07-16,7,42.7,mpn/100mL,N,NA
Gervais,62000700,2013-07-16,7,42.7,mpn/100mL,N,NA
Gervais,62000700,2013-07-09,749.7,130.7,mpn/100mL,Y,ecoli_30dayGM
Gervais,62000700,2013-07-09,749.7,130.7,mpn/100mL,Y,ecoli_30dayGM
Gervais,62000700,2013-07-02,7.9,66.1,mpn/100mL,N,NA
Gervais,62000700,2013-07-02,7.9,66.1,mpn/100mL,N,NA
Gervais,62000700,2013-06-25,73.5,46.8,mpn/100mL,N,NA
Gervais,62000700,2013-06-25,73.5,46.8,mpn/100mL,N,NA
Gervais,62000700,2013-06-18,45.9,30.6,mpn/100mL,N,NA
Gervais,62000700,2013-06-18,45.9,30.6,mpn/100mL,N,NA
Gervais,62000700,2013-06-13,148.3,28.2,mpn/100mL,N,NA
Gervais,62000700,2013-06-13,148.3,28.2,mpn/100mL,N,NA
Gervais,62000700,2013-06-11,1675.7,18.6,mpn/100mL,N,NA
Gervais,62000700,2013-06-11,1675.7,18.6,mpn/100mL,N,NA
Gervais,62000700,2013-06-04,12.6,4.2,mpn/100mL,N,NA
Gervais,62000700,2013-06-04,12.6,4.2,mpn/100mL,N,NA
Gervais,62000700,2013-05-28,1,2.4,mpn/100mL,N,NA
Gervais,62000700,2013-05-28,1,2.4,mpn/100mL,N,NA
Gervais,62000700,2013-05-21,5.7,5.7,mpn/100mL,N,NA
Gervais,62000700,2013-05-21,5.7,5.7,mpn/100mL,N,NA
Gervais,62000700,2012-08-29,24.9,3,mpn/100mL,N,NA
Gervais,62000700,2012-08-29,24.9,3,mpn/100mL,N,NA
Gervais,62000700,2012-08-21,1.8,2.5,mpn/100mL,N,NA
Gervais,62000700,2012-08-21,1.8,2.5,mpn/100mL,N,NA
Gervais,62000700,2012-08-14,1.4,3.3,mpn/100mL,N,NA
Gervais,62000700,2012-08-14,1.4,3.3,mpn/100mL,N,NA
Gervais,62000700,2012-08-07,2,3.1,mpn/100mL,N,NA
Gervais,62000700,2012-08-07,2,3.1,mpn/100mL,N,NA
Gervais,62000700,2012-07-31,2,3.5,mpn/100mL,N,NA
Gervais,62000700,2012-07-31,2,3.5,mpn/100mL,N,NA
Gervais,62000700,2012-07-24,8.9,4.5,mpn/100mL,N,NA
Gervais,62000700,2012-07-24,8.9,4.5,mpn/100mL,N,NA
Gervais,62000700,2012-07-17,7.4,6.7,mpn/100mL,N,NA
Gervais,62000700,2012-07-17,7.4,6.7,mpn/100mL,N,NA
Gervais,62000700,2012-07-10,1,7.4,mpn/100mL,N,NA
Gervais,62000700,2012-07-10,1,7.4,mpn/100mL,N,NA
Gervais,62000700,2012-07-05,4,12.9,mpn/100mL,N,NA
Gervais,62000700,2012-07-05,4,12.9,mpn/100mL,N,NA
Gervais,62000700,2012-06-26,6.8,16.9,mpn/100mL,N,NA
Gervais,62000700,2012-06-26,6.8,16.9,mpn/100mL,N,NA
Gervais,62000700,2012-06-19,67.3,21.2,mpn/100mL,N,NA
Gervais,62000700,2012-06-19,67.3,21.2,mpn/100mL,N,NA
