"BeachName","DOW","Date","MonitoringOrg","Ecoli_1dGM","Ecoli_30dGM","Ecoli_units","ClosureYN","ClosureReason"
"Auburn","10004400",2008-05-19,"TRPD",1,NA,"mpn","N",""
"Bryant","27006700",2008-05-19,"TRPD",4,NA,"mpn","N",""
"French","27010400",2008-05-19,"TRPD",10,NA,"mpn","N",""
"Medicine East","27010400",2008-05-19,"TRPD",1,NA,"mpn","N",""
"Medicine West","27010400",2008-05-19,"TRPD",1,NA,"mpn","N",""
"Parkers","27010700",2008-05-19,"TRPD",3,NA,"mpn","N",""
"Fish","27011800",2008-05-19,"TRPD",1,NA,"mpn","N",""
"Baker - Camp","27017600",2008-05-19,"TRPD",4,NA,"mpn","N",""
"Baker - Main","27017600",2008-05-19,"TRPD",2,NA,"mpn","N",""
"Rebecca","27019200",2008-05-19,"TRPD",2,NA,"mpn","N",""
"Cleary","70002200",2008-05-19,"TRPD",3,NA,"mpn","N",""
"Auburn","10004400",2008-05-28,"TRPD",1,NA,"mpn","N",""
"Bryant","27006700",2008-05-28,"TRPD",6,NA,"mpn","N",""
"French","27010400",2008-05-28,"TRPD",24,NA,"mpn","N",""
"Medicine East","27010400",2008-05-28,"TRPD",10,NA,"mpn","N",""
"Medicine West","27010400",2008-05-28,"TRPD",1,NA,"mpn","N",""
"Parkers","27010700",2008-05-28,"TRPD",1,NA,"mpn","N",""
"Fish","27011800",2008-05-28,"TRPD",1,NA,"mpn","N",""
"Baker - Camp","27017600",2008-05-28,"TRPD",1,NA,"mpn","N",""
"Baker - Main","27017600",2008-05-28,"TRPD",1,NA,"mpn","N",""
"Rebecca","27019200",2008-05-28,"TRPD",2,NA,"mpn","N",""
"Cleary","70002200",2008-05-28,"TRPD",3,NA,"mpn","N",""
"Auburn","10004400",2008-06-02,"TRPD",1,NA,"mpn","N",""
"Bryant","27006700",2008-06-02,"TRPD",101,NA,"mpn","N",""
"French","27010400",2008-06-02,"TRPD",25,NA,"mpn","N",""
"Medicine East","27010400",2008-06-02,"TRPD",15,NA,"mpn","N",""
"Medicine West","27010400",2008-06-02,"TRPD",7,NA,"mpn","N",""
"Parkers","27010700",2008-06-02,"TRPD",2,NA,"mpn","N",""
"Fish","27011800",2008-06-02,"TRPD",1,NA,"mpn","N",""
"Baker - Camp","27017600",2008-06-02,"TRPD",1,NA,"mpn","N",""
"Baker - Main","27017600",2008-06-02,"TRPD",1,NA,"mpn","N",""
"Rebecca","27019200",2008-06-02,"TRPD",4,NA,"mpn","N",""
"Cleary","70002200",2008-06-02,"TRPD",28,NA,"mpn","N",""
"Auburn","10004400",2008-06-09,"TRPD",75,NA,"mpn","N",""
"Bryant","27006700",2008-06-09,"TRPD",3,NA,"mpn","N",""
"French","27010400",2008-06-09,"TRPD",14,NA,"mpn","N",""
"Medicine East","27010400",2008-06-09,"TRPD",33,NA,"mpn","N",""
"Medicine West","27010400",2008-06-09,"TRPD",46,NA,"mpn","N",""
"Parkers","27010700",2008-06-09,"TRPD",10,NA,"mpn","N",""
"Fish","27011800",2008-06-09,"TRPD",3,NA,"mpn","N",""
"Baker - Camp","27017600",2008-06-09,"TRPD",2,NA,"mpn","N",""
"Baker - Main","27017600",2008-06-09,"TRPD",1,NA,"mpn","N",""
"Rebecca","27019200",2008-06-09,"TRPD",1,NA,"mpn","N",""
"Cleary","70002200",2008-06-09,"TRPD",9,NA,"mpn","N",""
"Auburn","10004400",2008-06-16,"TRPD",1,2.37,"mpn","N",""
"Bryant","27006700",2008-06-16,"TRPD",2,6.8,"mpn","N",""
"French","27010400",2008-06-16,"TRPD",15,16.6,"mpn","N",""
"Medicine East","27010400",2008-06-16,"TRPD",18,9.77,"mpn","N",""
"Medicine West","27010400",2008-06-16,"TRPD",18,5.66,"mpn","N",""
"Parkers","27010700",2008-06-16,"TRPD",2,2.61,"mpn","N",""
"Fish","27011800",2008-06-16,"TRPD",17,2.2,"mpn","N",""
"Baker - Camp","27017600",2008-06-16,"TRPD",68,3.52,"mpn","N",""
"Baker - Main","27017600",2008-06-16,"TRPD",14,1.95,"mpn","N",""
"Rebecca","27019200",2008-06-16,"TRPD",5,2.4,"mpn","N",""
"Cleary","70002200",2008-06-16,"TRPD",13,7.83,"mpn","N",""
"Auburn","10004400",2008-06-23,"TRPD",2,2.72,"mpn","N",""
"Bryant","27006700",2008-06-23,"TRPD",6,7.37,"mpn","N",""
"French","27010400",2008-06-23,"TRPD",1,10.47,"mpn","N",""
"Medicine East","27010400",2008-06-23,"TRPD",91,24.09,"mpn","N",""
"Medicine West","27010400",2008-06-23,"TRPD",36,11.58,"mpn","N",""
"Parkers","27010700",2008-06-23,"TRPD",261,6.36,"mpn","N",""
"Fish","27011800",2008-06-23,"TRPD",3.1,2.75,"mpn","N",""
"Baker - Camp","27017600",2008-06-23,"TRPD",4,3.52,"mpn","N",""
"Baker - Main","27017600",2008-06-23,"TRPD",12,2.79,"mpn","N",""
"Rebecca","27019200",2008-06-23,"TRPD",1,2.09,"mpn","N",""
"Cleary","70002200",2008-06-23,"TRPD",1,6.29,"mpn","N",""
"Auburn","10004400",2008-06-30,"TRPD",6,3.9,"mpn","N",""
"Bryant","27006700",2008-06-30,"TRPD",2,5.92,"mpn","N",""
"French","27010400",2008-06-30,"TRPD",649,20.25,"mpn","N",""
"Medicine East","27010400",2008-06-30,"TRPD",291,47.27,"mpn","N",""
"Medicine West","27010400",2008-06-30,"TRPD",18,20.65,"mpn","N",""
"Parkers","27010700",2008-06-30,"TRPD",39,13.24,"mpn","N",""
"Fish","27011800",2008-06-30,"TRPD",61,6.26,"mpn","N",""
"Baker - Camp","27017600",2008-06-30,"TRPD",79,8.45,"mpn","N",""
"Baker - Main","27017600",2008-06-30,"TRPD",88,6.82,"mpn","N",""
"Rebecca","27019200",2008-06-30,"TRPD",2,2.09,"mpn","N",""
"Cleary","70002200",2008-06-30,"TRPD",1,5.05,"mpn","N",""
"French","27010400",2008-07-02,"TRPD",50,23.26,"mpn","N",""
"Medicine East","27010400",2008-07-02,"TRPD",5,37.94,"mpn","N",""
"Medicine West","27010400",2008-07-02,"TRPD",6,20.02,"mpn","N",""
"Auburn","10004400",2008-07-07,"TRPD",387,12.83,"mpn","N",""
"Bryant","27006700",2008-07-07,"TRPD",5,3.25,"mpn","N",""
"French","27010400",2008-07-07,"TRPD",20,24.98,"mpn","N",""
"Medicine East","27010400",2008-07-07,"TRPD",16,32.83,"mpn","N",""
"Medicine West","27010400",2008-07-07,"TRPD",32,18.62,"mpn","N",""
"Parkers","27010700",2008-07-07,"TRPD",26,22.12,"mpn","N",""
"Fish","27011800",2008-07-07,"TRPD",14,10.62,"mpn","N",""
"Baker - Camp","27017600",2008-07-07,"TRPD",1,8.45,"mpn","N",""
"Baker - Main","27017600",2008-07-07,"TRPD",1,6.82,"mpn","N",""
"Rebecca","27019200",2008-07-07,"TRPD",1,1.58,"mpn","N",""
"Cleary","70002200",2008-07-07,"TRPD",16,4.51,"mpn","N",""
"Auburn","10004400",2008-07-10,"TRPD",219,15.9,"mpn","N",""
"Auburn","10004400",2008-07-14,"TRPD",1,15.9,"mpn","N",""
"Bryant","27006700",2008-07-14,"TRPD",21,4.79,"mpn","N",""
"French","27010400",2008-07-14,"TRPD",17,25.62,"mpn","N",""
"Medicine East","27010400",2008-07-14,"TRPD",10,29.19,"mpn","N",""
"Medicine West","27010400",2008-07-14,"TRPD",7,15.42,"mpn","N",""
"Parkers","27010700",2008-07-14,"TRPD",6,19.97,"mpn","N",""
"Fish","27011800",2008-07-14,"TRPD",18,15.2,"mpn","N",""
"Baker - Camp","27017600",2008-07-14,"TRPD",1,7.35,"mpn","N",""
"Baker - Main","27017600",2008-07-14,"TRPD",18,12.16,"mpn","N",""
"Rebecca","27019200",2008-07-14,"TRPD",13,2.65,"mpn","N",""
"Cleary","70002200",2008-07-14,"TRPD",6,4.16,"mpn","N",""
"Auburn","10004400",2008-07-21,"TRPD",3,17.25,"mpn","N",""
"Bryant","27006700",2008-07-21,"TRPD",71,9.78,"mpn","N",""
"French","27010400",2008-07-21,"TRPD",27,49.52,"mpn","N",""
"Medicine East","27010400",2008-07-21,"TRPD",14,20.07,"mpn","N",""
"Medicine West","27010400",2008-07-21,"TRPD",40,15.75,"mpn","N",""
"Parkers","27010700",2008-07-21,"TRPD",172,48.67,"mpn","N",""
"Fish","27011800",2008-07-21,"TRPD",13,14.4,"mpn","N",""
"Baker - Camp","27017600",2008-07-21,"TRPD",14,5.36,"mpn","N",""
"Baker - Main","27017600",2008-07-21,"TRPD",9,11.13,"mpn","N",""
"Rebecca","27019200",2008-07-21,"TRPD",3,2.39,"mpn","N",""
"Cleary","70002200",2008-07-21,"TRPD",1,2.49,"mpn","N",""
"Medicine West","27010400",2008-07-28,"TRPD",1986,40.34,"mpn","Y","ecoli_1dayGM"
"Auburn","10004400",2008-07-28,"TRPD",16,20.98,"mpn","N",""
"Bryant","27006700",2008-07-28,"TRPD",22,12.68,"mpn","N",""
"French","27010400",2008-07-28,"TRPD",25,25.82,"mpn","N",""
"Medicine East","27010400",2008-07-28,"TRPD",26,12.38,"mpn","N",""
"Parkers","27010700",2008-07-28,"TRPD",68,37.19,"mpn","N",""
"Fish","27011800",2008-07-28,"TRPD",22,21.31,"mpn","N",""
"Baker - Camp","27017600",2008-07-28,"TRPD",1,4.06,"mpn","N",""
"Baker - Main","27017600",2008-07-28,"TRPD",11,10.94,"mpn","N",""
"Rebecca","27019200",2008-07-28,"TRPD",11,3.86,"mpn","N",""
"Cleary","70002200",2008-07-28,"TRPD",1,2.49,"mpn","N",""
"Medicine West","27010400",2008-07-29,"TRPD",461,96.12,"mpn","N",""
"Cleary","70002200",2008-08-04,"TRPD",1986,11.38,"mpn","Y","ecoli_1dayGM"
"Auburn","10004400",2008-08-04,"TRPD",132,16.92,"mpn","N",""
"Bryant","27006700",2008-08-04,"TRPD",28,21.5,"mpn","N",""
"French","27010400",2008-08-04,"TRPD",19,21.28,"mpn","N",""
"Medicine East","27010400",2008-08-04,"TRPD",35,18.28,"mpn","N",""
"Medicine West","27010400",2008-08-04,"TRPD",4,63.41,"mpn","N",""
"Parkers","27010700",2008-08-04,"TRPD",411,59.57,"mpn","N",""
"Fish","27011800",2008-08-04,"TRPD",51,20.56,"mpn","N",""
"Baker - Camp","27017600",2008-08-04,"TRPD",2,1.95,"mpn","N",""
"Baker - Main","27017600",2008-08-04,"TRPD",1,4.47,"mpn","N",""
"Rebecca","27019200",2008-08-06,"TRPD",10,5.33,"mpn","N",""
"Cleary","70002200",2008-08-06,"TRPD",1,6.53,"mpn","N",""
"Auburn","10004400",2008-08-11,"TRPD",14,9.76,"mpn","N",""
"Bryant","27006700",2008-08-11,"TRPD",866,60.27,"mpn","N",""
"French","27010400",2008-08-11,"TRPD",649,42.67,"mpn","N",""
"Medicine East","27010400",2008-08-11,"TRPD",104,26.57,"mpn","N",""
"Medicine West","27010400",2008-08-11,"TRPD",146,116.42,"mpn","N",""
"Parkers","27010700",2008-08-11,"TRPD",921,121.58,"mpn","N",""
"Fish","27011800",2008-08-11,"TRPD",131,32.16,"mpn","N",""
"Baker - Camp","27017600",2008-08-11,"TRPD",1,1.95,"mpn","N",""
"Baker - Main","27017600",2008-08-11,"TRPD",51,9.81,"mpn","N",""
"Rebecca","27019200",2008-08-11,"TRPD",8,8.07,"mpn","N",""
"Cleary","70002200",2008-08-11,"TRPD",8,6.92,"mpn","N",""
"Parkers","27010700",2008-08-18,"TRPD",866,328.65,"mpn","Y","ecoli_30dayGM"
"Fish","27011800",2008-08-18,"TRPD",2419,85.7,"mpn","Y","ecoli_1dayGM"
"Auburn","10004400",2008-08-18,"TRPD",15,16.78,"mpn","N",""
"Bryant","27006700",2008-08-18,"TRPD",156,90.01,"mpn","N",""
"French","27010400",2008-08-18,"TRPD",44,51.61,"mpn","N",""
"Medicine East","27010400",2008-08-18,"TRPD",6,23.99,"mpn","N",""
"Medicine West","27010400",2008-08-18,"TRPD",1,55.67,"mpn","N",""
"Baker - Camp","27017600",2008-08-18,"TRPD",1,1.95,"mpn","N",""
"Baker - Main","27017600",2008-08-18,"TRPD",1,5.5,"mpn","N",""
"Rebecca","27019200",2008-08-18,"TRPD",166,13.44,"mpn","N",""
"Cleary","70002200",2008-08-18,"TRPD",4,9.13,"mpn","N",""
"Fish","27011800",2008-08-21,"TRPD",2419,243.73,"mpn","Y","ecoli_1dayGM"
"Parkers","27010700",2008-08-25,"TRPD",770,443.53,"mpn","Y","ecoli_30dayGM"
"Fish","27011800",2008-08-25,"TRPD",2419,623.95,"mpn","Y","ecoli_1dayGM"
"Rebecca","27019200",2008-08-25,"TRPD",1986,49.26,"mpn","Y","ecoli_1dayGM"
"Auburn","10004400",2008-08-25,"TRPD",4,17.77,"mpn","N",""
"Bryant","27006700",2008-08-25,"TRPD",166,106.68,"mpn","N",""
"French","27010400",2008-08-25,"TRPD",66,61.71,"mpn","N",""
"Medicine East","27010400",2008-08-25,"TRPD",726,52.85,"mpn","N",""
"Medicine West","27010400",2008-08-25,"TRPD",93,30.18,"mpn","N",""
"Baker - Camp","27017600",2008-08-25,"TRPD",3,1.43,"mpn","N",""
"Baker - Main","27017600",2008-08-25,"TRPD",1,3.55,"mpn","N",""
"Cleary","70002200",2008-08-25,"TRPD",6,13.07,"mpn","N",""
"Fish","27011800",2008-08-28,"TRPD",2419,1350.09,"mpn","Y","ecoli_1dayGM"
"Rebecca","27019200",2008-08-28,"TRPD",2419,144.86,"mpn","Y","ecoli_1dayGM"
"Rebecca","27019200",2008-09-03,"TRPD",1,91.4,"mpn","N",""
"Auburn","10004400",2009-05-18,"TRPD",1,NA,"mpn","N",""
"Bryant","27006700",2009-05-18,"TRPD",1,NA,"mpn","N",""
"French","27010400",2009-05-18,"TRPD",3,NA,"mpn","N",""
"Medicine East","27010400",2009-05-18,"TRPD",1,NA,"mpn","N",""
"Medicine West","27010400",2009-05-18,"TRPD",10,NA,"mpn","N",""
"Parkers","27010700",2009-05-18,"TRPD",1,NA,"mpn","N",""
"Fish","27011800",2009-05-18,"TRPD",1,NA,"mpn","N",""
"Baker - Camp","27017600",2009-05-18,"TRPD",1,NA,"mpn","N",""
"Baker - Main","27017600",2009-05-18,"TRPD",1,NA,"mpn","N",""
"Rebecca","27019200",2009-05-18,"TRPD",26,NA,"mpn","N",""
"Cleary","70002200",2009-05-19,"TRPD",1,NA,"mpn","N",""
"Auburn","10004400",2009-05-26,"TRPD",1,NA,"mpn","N",""
"Bryant","27006700",2009-05-26,"TRPD",1,NA,"mpn","N",""
"French","27010400",2009-05-26,"TRPD",16,NA,"mpn","N",""
"Medicine East","27010400",2009-05-26,"TRPD",21,NA,"mpn","N",""
"Medicine West","27010400",2009-05-26,"TRPD",4,NA,"mpn","N",""
"Parkers","27010700",2009-05-26,"TRPD",13,NA,"mpn","N",""
"Fish","27011800",2009-05-26,"TRPD",1,NA,"mpn","N",""
"Baker - Camp","27017600",2009-05-26,"TRPD",1,NA,"mpn","N",""
"Baker - Main","27017600",2009-05-26,"TRPD",1,NA,"mpn","N",""
"Rebecca","27019200",2009-05-26,"TRPD",4,NA,"mpn","N",""
"Cleary","70002200",2009-05-26,"TRPD",55,NA,"mpn","N",""
"Auburn","10004400",2009-06-01,"TRPD",1,NA,"mpn","N",""
"Bryant","27006700",2009-06-01,"TRPD",3,NA,"mpn","N",""
"French","27010400",2009-06-01,"TRPD",66,NA,"mpn","N",""
"Medicine East","27010400",2009-06-01,"TRPD",2,NA,"mpn","N",""
"Medicine West","27010400",2009-06-01,"TRPD",1,NA,"mpn","N",""
"Parkers","27010700",2009-06-01,"TRPD",2,NA,"mpn","N",""
