date,Ecoli_1dGM,Ecoli_30dGM,BeachName,Ecoli_units,ClosureYN,ClosureReason,MonitoringOrg,DOW,units
2023-05-31,4.4,4.4,Carver,mpn,N,NA,Woodbury,82016600,mpn
2023-06-06,2.9,3.6,Carver,mpn,N,NA,Woodbury,82016600,mpn
2023-06-13,4.8,4,Carver,mpn,N,NA,Woodbury,82016600,mpn
2023-06-20,2.5,3.5,Carver,mpn,N,NA,Woodbury,82016600,mpn
2023-06-27,4,3.6,Carver,mpn,N,NA,Woodbury,82016600,mpn
2023-07-03,8.2,4.1,Carver,mpn,N,NA,Woodbury,82016600,mpn
2023-07-11,1,3.3,Carver,mpn,N,NA,Woodbury,82016600,mpn
2023-07-18,1,2.4,Carver,mpn,N,NA,Woodbury,82016600,mpn
2023-07-25,24,3.8,Carver,mpn,N,NA,Woodbury,82016600,mpn
2023-08-01,6.3,4.2,Carver,mpn,N,NA,Woodbury,82016600,mpn
2023-08-08,3.5,3.5,Carver,mpn,N,NA,Woodbury,82016600,mpn
2023-08-15,16.3,6.1,Carver,mpn,N,NA,Woodbury,82016600,mpn
2023-08-22,1.4,6.6,Carver,mpn,N,NA,Woodbury,82016600,mpn
2023-08-29,3.1,4.4,Carver,mpn,N,NA,Woodbury,82016600,mpn
2024-05-21,15.5,15.5,Carver,mpn,N,NA,Woodbury,82016600,mpn
2024-05-28,67.7,32.4,Carver,mpn,N,NA,Woodbury,82016600,mpn
2024-06-04,121.1,50.2,Carver,mpn,N,NA,Woodbury,82016600,mpn
2024-06-11,1,18.9,Carver,mpn,N,NA,Woodbury,82016600,mpn
2024-06-18,48.7,22.8,Carver,mpn,N,NA,Woodbury,82016600,mpn
2024-06-25,10.4,21.1,Carver,mpn,N,NA,Woodbury,82016600,mpn
2024-07-02,1.4,9.7,Carver,mpn,N,NA,Woodbury,82016600,mpn
2024-07-09,13.3,6.2,Carver,mpn,N,NA,Woodbury,82016600,mpn
2024-07-16,35.7,12.8,Carver,mpn,N,NA,Woodbury,82016600,mpn
2024-07-23,10.9,9.5,Carver,mpn,N,NA,Woodbury,82016600,mpn
2024-07-30,10.8,9.5,Carver,mpn,N,NA,Woodbury,82016600,mpn
2024-08-06,14.5,15.2,Carver,mpn,N,NA,Woodbury,82016600,mpn
2024-08-13,NA,15.7,Carver,mpn,N,NA,Woodbury,82016600,mpn
2024-08-20,4,9.1,Carver,mpn,N,NA,Woodbury,82016600,mpn
